symbol,qty,abs_qty
A000210,11556.581280804681,11556.581280804681
A272210,3907.609181609962,3907.609181609962
A066970,2828.3247437682894,2828.3247437682894
A030000,-2763.180299845705,2763.180299845705
A008770,-1973.5263918674293,1973.5263918674293
A051600,-1632.9921487687473,1632.9921487687473
A034230,1626.9247446220973,1626.9247446220973
A005930,1155.6177220759394,1155.6177220759394
A005830,-712.6666240317156,712.6666240317156
A004370,-702.8881537314985,702.8881537314985
A185750,-699.6366782973691,699.6366782973691
A030200,-564.3738549911947,564.3738549911947
A105560,-554.6049164087052,554.6049164087052
A005380,-139.48243292536924,139.48243292536924
A010130,-15.68090572541451,15.68090572541451
A377300,-13.737744931963789,13.737744931963789
A114090,-7.835680084541594e-05,7.835680084541594e-05
A032640,-6.505860560982249e-05,6.505860560982249e-05
A009420,-5.758368477707526e-05,5.758368477707526e-05
A139130,-3.201601597087149e-05,3.201601597087149e-05
A000880,-2.7841562824657343e-05,2.7841562824657343e-05
A021240,-2.6226463267312386e-05,2.6226463267312386e-05
A280360,-2.5985206992313117e-05,2.5985206992313117e-05
A071320,-2.3731247814260358e-05,2.3731247814260358e-05
A042660,-1.3393796389921456e-05,1.3393796389921456e-05
A011070,-5.134994073096128e-12,5.134994073096128e-12
A003410,-1.4514238422414338e-85,1.4514238422414338e-85
