symbol,qty,abs_qty
A000210,5356.365889549686,5356.365889549686
A011170,4283.3170407938205,4283.3170407938205
A001440,3790.447558718693,3790.447558718693
A005940,3536.116139197637,3536.116139197637
A450080,3306.195963132941,3306.195963132941
A082740,3198.872033732662,3198.872033732662
A003490,2773.4943408776253,2773.4943408776253
A009830,2736.273704305249,2736.273704305249
A011200,2715.5382463092974,2715.5382463092974
A034230,2588.5149711957038,2588.5149711957038
A272210,2196.5871603267797,2196.5871603267797
A006800,1993.9720779658492,1993.9720779658492
A111770,1945.664309615202,1945.664309615202
A034220,1379.814415119327,1379.814415119327
A010950,1237.6824695933415,1237.6824695933415
A267250,724.5151350702865,724.5151350702865
A036570,707.692769469018,707.692769469018
A000720,605.7778073441823,605.7778073441823
A402340,577.1908900309096,577.1908900309096
A259960,542.3040322893356,542.3040322893356
A006400,541.0137278775534,541.0137278775534
A278470,477.6222980985149,477.6222980985149
A011070,324.65259512557424,324.65259512557424
A009150,253.70164280007302,253.70164280007302
A002380,161.0696508986622,161.0696508986622
A298040,67.56648669043787,67.56648669043787
A015760,-0.16485167546979795,0.16485167546979795
A042660,-0.00015757472068368694,0.00015757472068368694
