symbol,qty,abs_qty
A139130,-55299.139055338295,55299.139055338295
A000210,38935.011148838355,38935.011148838355
A008770,-14250.327249217882,14250.327249217882
A015760,-10820.808746322951,10820.808746322951
A047050,4672.895503736348,4672.895503736348
A036570,3462.1907592696816,3462.1907592696816
A204320,-1961.0124662876458,1961.0124662876458
A006400,1235.6057307318795,1235.6057307318795
A298040,72.29703167425964,72.29703167425964
A192080,-24.327213368853336,24.327213368853336
A114090,-0.0006553911393374634,0.0006553911393374634
A302440,-0.00032730536730353477,0.00032730536730353477
A071320,-0.0001596956257568366,0.0001596956257568366
A259960,-3.402556609691937e-05,3.402556609691937e-05
A047810,-2.5962435669486632e-05,2.5962435669486632e-05
A329180,-8.595870492076555e-06,8.595870492076555e-06
A326030,-2.164430036872406e-07,2.164430036872406e-07
A042660,-1.4575316745991728e-09,1.4575316745991728e-09
A064350,-5.15522138300935e-10,5.15522138300935e-10
A011070,-6.11631437145734e-11,6.11631437145734e-11
A030000,-9.348761528743542e-12,9.348761528743542e-12
A009540,-1.5885293979735646e-12,1.5885293979735646e-12
