code,name,product_family,source_confidence,index_name_candidates,methodology_probe,source_url,next_action
277650,TIGER 코스피중형주,domestic_broad_market,medium,KOSPI,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
0162Y0,TIME 코스닥액티브,domestic_broad_market,medium,KOSDAQ,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
385720,TIME 코스피액티브,domestic_broad_market,medium,KOSPI,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
108590,TREX 200,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
145850,TREX 펀더멘탈 200,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
448100,WON 200,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
0053M0,더제이 중소형포커스액티브,domestic_broad_market,low,KOSPI Small Cap,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
0112X0,마이티 200TR,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
159800,마이티 코스피100,domestic_broad_market,medium,KOSPI 100,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
0007N0,아이엠에셋 200,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
152870,파워 200,domestic_broad_market,medium,KOSPI 200,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
140950,파워 코스피100,domestic_broad_market,medium,KOSPI 100,krx_index_data_system,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd?locale=en,probe_krx_index_data_system
