code,name,index_name,methodology_status,methodology_file,source_url,family,rebalance_frequency,rebalance_months,weighting_scheme,weight_cap,required_data,available_data,missing_data
461950,KODEX 2차전지핵심소재10,FnGuide Secondary Battery Core Materials 10 Index,available,etfs\raw\methodologies\461950_f13d50e5b8d0.pdf,https://file.fnguide.com/fnindex/files/FnGuide_Secondary_Battery_Core_Materials_10_Index_Methodology_Book_삼성_(20230518)_v1.5.pdf,keyword_theme,quarterly,"1,4,7,10",score_weighted,20%,constituent_universe|corporate_actions|free_float_ratio|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|ranking_inputs|rule_profile|score_inputs|stock_prices|trading_value_liquidity,methodology_pdf|rule_profile,constituent_universe|corporate_actions|free_float_ratio|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|score_inputs|stock_prices|trading_value_liquidity
395160,KODEX AI반도체TOP2플러스,FnGuide AI Semiconductor TOP2 Plus Index,available,etfs\raw\methodologies\395160_57c7d80a085d.pdf,https://file.fnguide.com/fnindex/files/FnGuide AI Semiconductor TOP2 Plus Index_Methodology_Book_(20260102)_v1.2.pdf,keyword_theme,quarterly,"1,4,7,10",float_market_cap_weighted,15%,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|ranking_inputs|rule_profile|stock_prices|trading_value_liquidity,methodology_pdf|rule_profile,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
471990,KODEX AI반도체핵심장비,FnGuide AI Semiconductor TOP3 Plus Price Return Index,available,etfs\raw\methodologies\471990_466c302826ee.pdf,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,keyword_theme,quarterly,"3,6,9,12",equal_weighted,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|ranking_inputs|rule_profile|stock_prices|trading_value_liquidity,methodology_pdf|rule_profile,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
487240,KODEX AI전력핵심설비,FnGuide AI Semiconductor TOP3 Plus Price Return Index,available,etfs\raw\methodologies\487240_466c302826ee.pdf,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,keyword_theme,quarterly,"3,6,9,12",equal_weighted,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|ranking_inputs|rule_profile|stock_prices|trading_value_liquidity,methodology_pdf|rule_profile,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
266370,KODEX IT,FnGuide IT PLUS Index,available,etfs\raw\methodologies\266370_bea5dc8cb6b5.pdf,https://file.fnguide.com/fnindex/files/FnGuide_IT PLUS_Index_Methodology_Book_KB_(20190701)_v1.3.pdf,sector_theme,semiannual,"6,12",float_market_cap_weighted,10%,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|rule_profile|stock_prices|trading_value_liquidity,methodology_pdf|rule_profile,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|stock_prices|trading_value_liquidity
117700,KODEX 건설,Maekyung FnGuide Index Series,available,etfs\raw\methodologies\117700_165a330f5577.pdf,https://file.fnguide.com/fnindex/files/Maekyung_FnGuide_Index_Series_(20210729)_v2.9.2.pdf,dividend,annual,6,equal_weighted,,constituent_universe|corporate_actions|dividend_data|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|ranking_inputs|rule_profile|stock_prices|trading_value_liquidity,methodology_pdf|rule_profile,constituent_universe|corporate_actions|dividend_data|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
300950,KODEX 게임산업,FnGuide Game Industry Index,available,etfs\raw\methodologies\300950_1e987e725fc3.pdf,https://file.fnguide.com/fnindex/files/FnGuide_Game_Sector_Index_Methodology_Book_삼성_(20190701)_v1.6.pdf,sector_theme,quarterly,"5,6,11,12",float_market_cap_weighted,25%,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|rule_profile|stock_prices,methodology_pdf|rule_profile,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|stock_prices
266390,KODEX 경기소비재,Maekyung FnGuide Index Series,available,etfs\raw\methodologies\266390_165a330f5577.pdf,https://file.fnguide.com/fnindex/files/Maekyung_FnGuide_Index_Series_(20210729)_v2.9.2.pdf,dividend,annual,6,equal_weighted,,constituent_universe|corporate_actions|dividend_data|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|ranking_inputs|rule_profile|stock_prices|trading_value_liquidity,methodology_pdf|rule_profile,constituent_universe|corporate_actions|dividend_data|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
0089D0,KODEX 금융고배당TOP10,FnGuide Size/Style Index Series,available,etfs\raw\methodologies\0089D0_60b5df44287f.pdf,https://file.fnguide.com/fnindex/files/FnGuide_SizeStyle_Index_Series_Methodology_Book_미래_(20260203)_v2.0.pdf,dividend,semiannual,"6,12",float_market_cap_weighted,25%,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|ranking_inputs|rule_profile|stock_prices|trading_value_liquidity,methodology_pdf|rule_profile,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
498410,KODEX 금융고배당TOP10타겟위클리커버드콜,FnGuide Size/Style Index Series,available,etfs\raw\methodologies\498410_60b5df44287f.pdf,https://file.fnguide.com/fnindex/files/FnGuide_SizeStyle_Index_Series_Methodology_Book_미래_(20260203)_v2.0.pdf,dividend,semiannual,"6,12",float_market_cap_weighted,25%,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|ranking_inputs|rule_profile|stock_prices|trading_value_liquidity,methodology_pdf|rule_profile,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
