strategy,trades,tickers,final_return,mdd,avg_net_return,median_net_return,hit_rate,profit_factor,max_active_positions,prefilter_candidates,input_trades,skipped_trades,return_delta_vs_baseline,mdd_delta_vs_baseline,trade_reduction_vs_baseline,candidate_reduction_vs_baseline,return_per_trade_bps
5m_new_high_only,2738,217,0.872061874885,-0.02373373492046571,0.006370064827498831,-0.00698468310294515,0.2308254200146092,1.9327593464404285,15,16847,2755,17,0.0,0.0,0.0,0.0,3.1850324137509127
positivity_only,2738,217,0.872061874885,-0.02373373492046571,0.006370064827498831,-0.00698468310294515,0.2308254200146092,1.9327593464404285,15,7807,2755,17,0.0,0.0,0.0,0.5365940523535347,3.1850324137509127
flow_only,2630,215,0.81938470087,-0.022115431196809476,0.006231062364031095,-0.0069184623461471,0.23193916349809887,1.9288323352602812,15,15876,2646,16,-0.052677174015,0.001618303724,0.039444850255661024,0.057636374428681636,3.1155311820152094
current,2630,215,0.81938470087,-0.022115431196809476,0.006231062364031095,-0.0069184623461471,0.23193916349809887,1.9288323352602812,15,7507,2646,16,-0.052677174015,0.001618303724,0.039444850255661024,0.5544013770997804,3.1155311820152094
