strategy,trades,tickers,final_return,mdd,avg_net_return,median_net_return,hit_rate,profit_factor,max_active_positions,prefilter_candidates,input_trades,skipped_trades
5m_new_high_only,2738,217,0.872061874885,-0.02373373492046571,0.006370064827498831,-0.00698468310294515,0.2308254200146092,1.9327593464404285,15,16847,2755,17
positivity_only,2738,217,0.872061874885,-0.02373373492046571,0.006370064827498831,-0.00698468310294515,0.2308254200146092,1.9327593464404285,15,7807,2755,17
flow_only,2630,215,0.81938470087,-0.022115431196809476,0.006231062364031095,-0.0069184623461471,0.23193916349809887,1.9288323352602812,15,15876,2646,16
current,2630,215,0.81938470087,-0.022115431196809476,0.006231062364031095,-0.0069184623461471,0.23193916349809887,1.9288323352602812,15,7507,2646,16
