strategy_id,op_rrg_mode,stock_score,compression,confirm,cagr,mdd,sharpe,total_return,final_equity,monthly_win_rate,monthly_bm_win_rate,avg_turnover,avg_total_count,median_total_count,p90_total_count,max_total_count,output_dir
rrg_op_rrg_grid_self_qavg_k1_flow,self,qavg,k1,flow,0.6175702813000441,-0.33160702495618954,1.4906936619330087,18.66605104650519,2024804145.8297868,0.6103896103896104,0.5844155844155844,0.32200994375079384,10.003392130257803,10.0,14.0,20,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-self_qavg_k1_flow_20260618_175258
rrg_op_rrg_grid_ex10_qavg_k1_none,ex10,qavg,k1,none,0.6663043927590666,-0.3116069752247975,1.453860638793803,22.803982417735337,2079034656.736653,0.6233766233766234,0.5064935064935064,0.2739163098688146,11.170284938941656,11.0,16.0,23,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-ex10_qavg_k1_none_20260618_174653
rrg_op_rrg_grid_base_op12_k1_flow,base,op12,k1,flow,0.6772174784681937,-0.3759109314179374,1.431760321528021,23.946673571790704,2700523702.4682293,0.5844155844155844,0.5714285714285714,0.3109848412925231,11.062708472314876,11.0,16.0,24,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-base_op12_k1_flow_20260618_174425
rrg_op_rrg_grid_ex10_op12_k2_momo,ex10,op12,k2,momo,0.53597866148887,-0.2477315576765572,1.4138466011212216,13.463935257539934,1485970988.3131907,0.6883116883116883,0.5584415584415584,0.33797486407200983,15.544726301735647,15.0,24.0,42,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-ex10_op12_k2_momo_20260618_174900
rrg_op_rrg_grid_self_qavg_k1_momo,self,qavg,k1,momo,0.7167115781645508,-0.38191461055079545,1.3922545185502162,27.054110461961976,2821981893.685244,0.6233766233766234,0.5584415584415584,0.35615038374164815,9.601763907734057,9.0,13.0,19,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-self_qavg_k1_momo_20260618_175320
rrg_op_rrg_grid_self_op12_k1_flow,self,op12,k1,flow,0.658940865610903,-0.3983489042439533,1.382326360037039,22.1879361646945,2303091385.7201223,0.5974025974025974,0.5584415584415584,0.31351054095811487,10.981987991994663,11.0,15.0,21,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-self_op12_k1_flow_20260618_175627
rrg_op_rrg_grid_ex10_op12_k2_flow_momo,ex10,op12,k2,flow_momo,0.5325783216926891,-0.26812878875472035,1.363382114790722,13.395762774268112,1480661212.2945545,0.6363636363636364,0.5194805194805194,0.3378524663424831,13.414552736982644,13.0,22.0,40,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-ex10_op12_k2_flow_momo_20260618_174920
rrg_op_rrg_grid_ex10_qavg_k1_flow,ex10,qavg,k1,flow,0.6657397457623193,-0.3375313158426807,1.3357754207655055,22.944729058892737,2103520733.000517,0.6233766233766234,0.5454545454545454,0.31686483471402643,9.827679782903664,9.0,15.0,22,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-ex10_qavg_k1_flow_20260618_174713
rrg_op_rrg_grid_self_op12_k1_flow_momo,self,op12,k1,flow_momo,0.5985126003034194,-0.4791870692905198,1.3343956410488846,17.397053081598937,1568420707.9989152,0.6883116883116883,0.5454545454545454,0.35261775389380495,9.916611074049365,10.0,14.0,19,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-self_op12_k1_flow_momo_20260618_175713
rrg_op_rrg_grid_ex10_op12_k1_momo,ex10,op12,k1,momo,0.5458067107160358,-0.29468396291725196,1.2980584391949024,14.032791807000097,1384377609.2007146,0.6753246753246753,0.5584415584415584,0.35295179500632196,10.511348464619493,10.0,15.0,25,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-ex10_op12_k1_momo_20260618_175027
