symbol,target_weight,abs_weight
A062040,0.3076923076923077,0.3076923076923077
A005490,0.25274725274725274,0.25274725274725274
A000150,0.23076923076923078,0.23076923076923078
A302440,-0.22435897435897434,0.22435897435897434
A011070,0.2087912087912088,0.2087912087912088
A035250,-0.08974358974358974,0.08974358974358974
A361610,-0.07692307692307693,0.07692307692307693
A015760,-0.0641025641025641,0.0641025641025641
A030200,-0.02564102564102564,0.02564102564102564
A024110,-0.019230769230769232,0.019230769230769232
