symbol,qty,abs_qty
A000210,11727.416458822878,11727.416458822878
A030000,-6299.561481189937,6299.561481189937
A011200,5357.500964540442,5357.500964540442
A008770,-4986.765289792414,4986.765289792414
A272210,4462.787829587168,4462.787829587168
A051600,-3921.1076081079573,3921.1076081079573
A066970,3312.721761220326,3312.721761220326
A034230,2583.258595442494,2583.258595442494
A185750,-1650.7648539942627,1650.7648539942627
A105560,-1614.676463000924,1614.676463000924
A036570,1466.150312064252,1466.150312064252
A011070,536.6876750487481,536.6876750487481
A005380,-382.0970382045387,382.0970382045387
A002380,67.89497553771305,67.89497553771305
A298040,49.70536124875336,49.70536124875336
A010130,-46.19161486998775,46.19161486998775
A377300,-18.97544977542475,18.97544977542475
A114090,-0.00015769246588977215,0.00015769246588977215
A000880,-5.748464072423756e-05,5.748464072423756e-05
A071320,-5.1211849524473996e-05,5.1211849524473996e-05
A042660,-2.7250032237803937e-05,2.7250032237803937e-05
