risk_model,gross_total_excess_bp,gross_annualized_excess_bp,gross_realized_te_bp,gross_information_ratio,costed_total_excess_bp,costed_annualized_excess_bp,costed_realized_te_bp,costed_information_ratio,sum_abs_active_weight_mean_pct,sum_abs_active_weight_max_pct,active_share_mean_pct,active_share_max_pct
direct_covariance,83.8449487542,25.3825706893,418.2363741022,0.0606895341,-353.2925794793,-108.6112454131,416.8896111752,-0.2605275893,82.8182419446609,120.23868825310053,41.40912097233045,60.11934412655027
factor_idio,316.6889363562,95.1096808513,127.0594150111,0.7485449295,224.6793447118,67.6889117772,127.1600401415,0.5323127588,15.034618637703637,24.974539617827517,7.517309318851819,12.487269808913759
