symbol,target_weight,abs_weight
A000660,0.6666666666666666,0.6666666666666666
A005490,0.3333333333333333,0.3333333333333333
A069620,-0.15073529411764705,0.15073529411764705
A073240,-0.09926470588235295,0.09926470588235295
A361610,-0.058823529411764705,0.058823529411764705
A015760,-0.05514705882352941,0.05514705882352941
A035250,-0.051470588235294115,0.051470588235294115
A000080,-0.029411764705882353,0.029411764705882353
A030200,-0.029411764705882353,0.029411764705882353
A024110,-0.025735294117647058,0.025735294117647058
