symbol,target_weight,abs_weight
A069620,-0.19090909090909092,0.19090909090909092
A006260,0.17948717948717943,0.17948717948717943
A402340,0.16194331983805668,0.16194331983805668
A009150,0.14102564102564102,0.14102564102564102
A047040,0.11538461538461539,0.11538461538461539
A005490,0.10256410256410256,0.10256410256410256
A000150,0.09446693657219973,0.09446693657219973
A361610,-0.09090909090909091,0.09090909090909091
A062040,0.08974358974358972,0.08974358974358972
A015760,-0.08181818181818182,0.08181818181818182
A011070,0.07692307692307693,0.07692307692307693
A035250,-0.07272727272727272,0.07272727272727272
A028050,0.038461538461538464,0.038461538461538464
A030200,-0.03636363636363636,0.03636363636363636
A024110,-0.02727272727272727,0.02727272727272727
