symbol,qty,abs_qty
A139130,-29266.60185877442,29266.60185877442
A000210,21194.769088646564,21194.769088646564
A008770,-12444.07762561253,12444.07762561253
A015760,-6184.967276539303,6184.967276539303
A272210,3855.3616411266053,3855.3616411266053
A036570,1885.108220181784,1885.108220181784
A204320,-934.0643428490073,934.0643428490073
A006400,538.2530671134048,538.2530671134048
A009150,295.1278911201198,295.1278911201198
A298040,39.341340869954045,39.341340869954045
A377300,-23.727471294139832,23.727471294139832
A114090,-0.00027657302743065715,0.00027657302743065715
A302440,-0.00014990604466438157,0.00014990604466438157
A000880,-6.435024744612383e-05,6.435024744612383e-05
A071320,-5.989688309818164e-05,5.989688309818164e-05
A042660,-3.4998029179484844e-05,3.4998029179484844e-05
A329180,-1.568713424461108e-08,1.568713424461108e-08
A011070,-1.8516213811972027e-11,1.8516213811972027e-11
A030000,-4.331092455970811e-12,4.331092455970811e-12
A009540,-7.359335961771272e-13,7.359335961771272e-13
