code,name
451060,1Q 200액티브
0184E0,1Q 200채권혼합50액티브
491610,1Q CD금리액티브(합성)
0182R0,1Q K반도체TOP2+
0182S0,1Q K반도체TOP2채권혼합50
0103T0,1Q K소버린AI
0198D0,1Q SK하이닉스선물단일종목레버리지
463290,1Q 단기금융채액티브
0131W0,1Q 단기특수은행채액티브
479080,1Q 머니마켓액티브
0026S0,1Q 미국S&P500
0052S0,1Q 미국S&P500미국채혼합50액티브
0069M0,1Q 미국나스닥100
0111P0,1Q 미국나스닥100미국채혼합50액티브
0083S0,1Q 미국메디컬AI
0004G0,1Q 미국배당TOP30
0131V0,1Q 미국우주항공테크
0198B0,1Q 삼성전자선물단일종목레버리지
0094X0,1Q 샤오미밸류체인액티브
0172V0,1Q 은액티브
0017Y0,1Q 종합채권(AA-이상)액티브
0052T0,1Q 중단기회사채(A-이상)액티브
495330,1Q 코리아밸류업
0186S0,1Q 코스닥150채권혼합50액티브
492500,1Q 현대차그룹채권(A+이상)&국고통안
0206G0,1Q 현대차기아채권혼합50
473440,ACE 11월만기자동연장회사채AA-이상액티브
105190,ACE 200
332500,ACE 200TR
461270,ACE 26-06 회사채(AA-이상)액티브
475260,ACE 2월만기자동연장회사채AA-이상액티브
385600,ACE 2차전지&친환경차액티브
475270,ACE 5월만기자동연장회사채AA-이상액티브
475280,ACE 8월만기자동연장회사채AA-이상액티브
469150,ACE AI반도체TOP3+
0079X0,ACE BYD밸류체인액티브
385590,ACE ESG액티브
226380,ACE Fn성장소비주도주
475050,ACE KPOP포커스
411060,ACE KRX금현물
0172Y0,ACE K수출핵심TOP10산업액티브
0177X0,ACE K휴머노이드로봇산업TOP2+
291130,ACE MSCI멕시코(합성)
256440,ACE MSCI인도네시아(합성)
261920,ACE MSCI필리핀(합성)
0194T0,ACE SK하이닉스단일종목레버리지
0021D0,ACE TDF2030액티브 적격
0021E0,ACE TDF2050액티브 적격
0021C0,ACE TDF장기자산배분액티브
0139P0,ACE 고배당주
0199C0,ACE 고배당주Plus커버드콜액티브
225130,ACE 골드선물 레버리지(합성 H)
483340,ACE 구글밸류체인액티브
365780,ACE 국고채10년
114460,ACE 국고채3년
494340,ACE 글로벌AI맞춤형반도체
446770,ACE 글로벌반도체TOP4 Plus
435040,ACE 글로벌브랜드TOP10
497510,ACE 글로벌빅파마
460960,ACE 글로벌인컴TOP10
414270,ACE 글로벌자율주행액티브
440640,ACE 단기채권알파액티브
190620,ACE 단기통안채
494330,ACE 라이프자산주주가치액티브
265690,ACE 러시아MSCI(합성)
152500,ACE 레버리지
0153P0,ACE 리츠부동산인프라액티브
483330,ACE 마이크로소프트밸류체인액티브
487340,ACE 머니마켓액티브
0085P0,ACE 미국10년국채액티브
0085N0,ACE 미국10년국채액티브(H)
452250,ACE 미국30년국채선물레버리지(합성 H)
476760,ACE 미국30년국채액티브
453850,ACE 미국30년국채액티브(H)
476750,ACE 미국30년국채엔화노출액티브(H)
480030,ACE 미국500데일리타겟커버드콜(합성)
0118Z0,ACE 미국AI테크핵심산업액티브
280320,ACE 미국IT인터넷(합성 H)
360200,ACE 미국S&P500
438080,ACE 미국S&P500미국채혼합50액티브
0155M0,ACE 미국SMR원자력TOP10
309230,ACE 미국WideMoat동일가중
367380,ACE 미국나스닥100
438100,ACE 미국나스닥100미국채혼합50액티브
456880,ACE 미국달러SOFR금리(합성)
440650,ACE 미국달러단기채권액티브
0127M0,ACE 미국대형가치주액티브
0127P0,ACE 미국대형성장주액티브
480040,ACE 미국반도체데일리타겟커버드콜(합성)
402970,ACE 미국배당다우존스
0046Y0,ACE 미국배당퀄리티
0049M0,ACE 미국배당퀄리티+커버드콜액티브
0049K0,ACE 미국배당퀄리티채권혼합50
181480,ACE 미국부동산리츠(합성 H)
480020,ACE 미국빅테크7+데일리타겟커버드콜(합성)
465580,ACE 미국빅테크TOP7 Plus
465610,ACE 미국빅테크TOP7 Plus레버리지(합성)
465620,ACE 미국빅테크TOP7 Plus인버스(합성)
0180V0,ACE 미국우주테크액티브
473590,ACE 미국주식베스트셀러
0008E0,ACE 미국중심중소형제조업
391600,ACE 미국친환경그린테마
455660,ACE 미국하이일드액티브(H)
245710,ACE 베트남VN30(합성)
131890,ACE 삼성그룹동일가중
108450,ACE 삼성그룹섹터가중
0194M0,ACE 삼성전자단일종목레버리지
316300,ACE 싱가포르리츠
277540,ACE 아시아TOP50
483420,ACE 애플밸류체인액티브
483320,ACE 엔비디아밸류체인액티브
448540,ACE 엔비디아채권혼합
0099L0,ACE 우량회사채(AA-이상)액티브
433500,ACE 원자력TOP10
0102X0,ACE 유럽방산TOP10
487920,ACE 인도시장대표BIG5그룹액티브
487910,ACE 인도컨슈머파워액티브
145670,ACE 인버스
497520,ACE 일라이릴리밸류체인
238720,ACE 일본Nikkei225(H)
196030,ACE 일본TOPIX레버리지(H)
205720,ACE 일본TOPIX인버스(합성 H)
469160,ACE 일본반도체
356540,ACE 종합채권(AA-이상)액티브
447430,ACE 주주환원가치주액티브
416090,ACE 중국과창판STAR50
168580,ACE 중국본토CSI300
219900,ACE 중국본토CSI300레버리지(합성)
272910,ACE 중장기국공채액티브
0087F0,ACE 차이나AI빅테크TOP2+액티브
371870,ACE 차이나항셍테크
380340,ACE 코리아AI테크핵심산업
496120,ACE 코리아밸류업
354500,ACE 코스닥150
305050,ACE 코스피
457480,ACE 테슬라밸류체인액티브
469170,ACE 포스코그룹포커스
466810,BNK 2차전지양극재
457930,BNK 미래전략기술액티브
487750,BNK 온디바이스AI
445690,BNK 주주가치액티브
0120J0,BNK 카카오그룹포커스
486240,DAISHIN343 AI반도체&인프라액티브
434960,DAISHIN343 K200
0189Z0,DAISHIN343 금융&지주고배당
0174J0,DAISHIN343 오피스리츠플러스
0098Z0,FOCUS 200
0176P0,FOCUS AI반도체위클리고정커버드콜
448570,FOCUS AI코리아액티브
285690,FOCUS ESG리더스
0073X0,FOCUS 알리바바미국채커버드콜혼합
293180,HANARO 200
407310,HANARO 200 TOP10
332930,HANARO 200TR
304780,HANARO 200선물레버리지
306520,HANARO 200선물인버스
0123S0,HANARO 26-12 은행채(AA+이상)액티브
0091M0,HANARO 27-06 회사채(AA-이상)액티브
448490,HANARO 32-10 국고채액티브
454320,HANARO CAPEX설비투자iSelect
395290,HANARO Fn K-POP&미디어
395280,HANARO Fn K-게임
368190,HANARO Fn K-뉴딜디지털플러스
402460,HANARO Fn K-메타버스MZ
395270,HANARO Fn K-반도체
438900,HANARO Fn K-푸드
367740,HANARO Fn5G산업
407300,HANARO Fn골프테마
381560,HANARO Fn전기&수소차
441540,HANARO Fn조선해운
381570,HANARO Fn친환경에너지
479850,HANARO K-뷰티
453060,HANARO KOFR금리액티브(합성)
304760,HANARO KRX300
322410,HANARO K고배당
0155N0,HANARO K휴머노이드테마TOP10
332940,HANARO MSCI Korea TR
322400,HANARO e커머스
473640,HANARO 글로벌금채굴기업
354350,HANARO 글로벌럭셔리S&P(합성)
461340,HANARO 글로벌생성형AI액티브
424460,HANARO 글로벌워터MSCI(합성)
401590,HANARO 글로벌탄소배출권선물ICE(합성)
0040S0,HANARO 글로벌피지컬AI액티브
314700,HANARO 농업융복합산업
486830,HANARO 머니마켓액티브
0181B0,HANARO 미국AI메모리반도체TOP4+
432840,HANARO 미국S&P500
498050,HANARO 바이오코리아액티브
476260,HANARO 반도체핵심공정주도주
434730,HANARO 원자력iSelect
0082F0,HANARO 유럽방산
491820,HANARO 전력설비투자
461500,HANARO 종합채권(AA-이상)액티브
0191W0,HANARO 중기종합채권(A-이상)액티브
0111J0,HANARO 증권고배당TOP3플러스
495750,HANARO 코리아밸류업
304770,HANARO 코스닥150
306530,HANARO 코스닥150선물레버리지
375760,HANARO 탄소효율그린뉴딜
491700,HK 200
0000Y0,HK 26-12 회사채(AA-이상)액티브
215620,HK S&P코리아로우볼
0113P0,HK 머니마켓액티브
391670,HK 베스트일레븐액티브
472920,HK 종합채권(AA-이상)액티브
472840,IBK 200
0005G0,IBK K-AI반도체코어테크
0178H0,IBK 미국AI TOP10국채혼합50
0135Y0,IBK 중기종합채권(AA-이상)액티브
0191S0,IBK 코스닥150
483570,KCGI 미국S&P500 TOP10
069660,KIWOOM 200
294400,KIWOOM 200TR
253250,KIWOOM 200선물레버리지
253240,KIWOOM 200선물인버스
253230,KIWOOM 200선물인버스2X
464240,KIWOOM 26-09회사채(AA-이상)액티브
458210,KIWOOM CD금리액티브(합성)
488200,KIWOOM K-2차전지북미공급망
488210,KIWOOM K-반도체북미공급망
100910,KIWOOM KRX100
0194R0,KIWOOM SK하이닉스선물단일종목레버리지
435530,KIWOOM TDF2030액티브 적격
435540,KIWOOM TDF2040액티브 적격
435550,KIWOOM TDF2050액티브 적격
148070,KIWOOM 국고채10년
167860,KIWOOM 국고채10년레버리지
471460,KIWOOM 국고채30년액티브
114470,KIWOOM 국고채3년
473490,KIWOOM 글로벌AI반도체
489860,KIWOOM 글로벌전력GRID인프라
130730,KIWOOM 단기자금
419890,KIWOOM 단기채권ESG액티브
411860,KIWOOM 독일DAX
476450,KIWOOM 머니마켓액티브
430500,KIWOOM 물가채KIS
0190M0,KIWOOM 미국AI테크하이베타
449770,KIWOOM 미국S&P500
0127V0,KIWOOM 미국S&P500 TOP10&배당다우비중전환
0137W0,KIWOOM 미국S&P500&GOLD
0127T0,KIWOOM 미국S&P500&배당다우존스비중전환
449780,KIWOOM 미국S&P500(H)
0137V0,KIWOOM 미국S&P500모멘텀
0107F0,KIWOOM 미국고배당&AI테크
453080,KIWOOM 미국나스닥100(H)
460270,KIWOOM 미국달러SOFR금리액티브(합성)
138230,KIWOOM 미국달러선물
225800,KIWOOM 미국달러선물레버리지
139660,KIWOOM 미국달러선물인버스
230480,KIWOOM 미국달러선물인버스2X
0084E0,KIWOOM 미국대형주500월간목표헤지액티브
373790,KIWOOM 미국방어배당성장나스닥
483030,KIWOOM 미국블록버스터바이오테크의약품+
459790,KIWOOM 미국성장기업30액티브
0174R0,KIWOOM 미국성장다우존스
498270,KIWOOM 미국양자컴퓨팅
474800,KIWOOM 미국원유에너지기업
0084D0,KIWOOM 미국테크100월간목표헤지액티브
104520,KIWOOM 블루칩
0183V0,KIWOOM 삼성전자&SK하이닉스채권혼합50
0194N0,KIWOOM 삼성전자선물단일종목레버리지
0015E0,KIWOOM 엔비디아미국30년국채혼합액티브(H)
483020,KIWOOM 의료AI
200250,KIWOOM 인도Nifty50(합성)
454780,KIWOOM 종합채권(AA-이상)액티브
454180,KIWOOM 차이나내수소비TOP CSI
104530,KIWOOM 코리아고배당
496090,KIWOOM 코리아밸류업
469790,KIWOOM 코리아테크TOP10
316670,KIWOOM 코스닥150
291630,KIWOOM 코스닥150선물레버리지
291620,KIWOOM 코스닥150선물인버스
153270,KIWOOM 코스피100
122260,KIWOOM 통안채1년
0015F0,KIWOOM 팔란티어미국30년국채혼합액티브(H)
0097L0,KIWOOM 한국고배당&미국AI테크
069500,KODEX 200
226980,KODEX 200 중소형
337160,KODEX 200ESG
363580,KODEX 200IT TR
278530,KODEX 200TR
337150,KODEX 200exTOP
223190,KODEX 200가치저변동
252650,KODEX 200동일가중
360140,KODEX 200롱코스닥150숏선물
284430,KODEX 200미국채혼합
252670,KODEX 200선물인버스2X
494890,KODEX 200액티브
498400,KODEX 200타겟위클리커버드콜
0117L0,KODEX 26-12 금융채(AA-이상)액티브
473290,KODEX 26-12 회사채(AA-이상)액티브
0007F0,KODEX 27-12 회사채(AA-이상)액티브
0119H0,KODEX 28-12 회사채(AA-이상)액티브
305720,KODEX 2차전지산업
462330,KODEX 2차전지산업레버리지
461950,KODEX 2차전지핵심소재10
457690,KODEX 33-06 국고채액티브
271060,KODEX 3대농산물선물(H)
457700,KODEX 53-09 국고채액티브
395160,KODEX AI반도체TOP2플러스
471990,KODEX AI반도체핵심장비
487240,KODEX AI전력핵심설비
481050,KODEX CD1년금리플러스액티브(합성)
459580,KODEX CD금리액티브(합성)
439860,KODEX ESG종합채권(A-이상)액티브
266370,KODEX IT
368680,KODEX K-뉴딜디지털플러스
423160,KODEX KOFR금리액티브(합성)
292190,KODEX KRX300
306950,KODEX KRX300레버리지
229720,KODEX KTOP30
266360,KODEX K콘텐츠
291890,KODEX MSCI EM선물(H)
289040,KODEX MSCI KOREA ESG유니버설
156080,KODEX MSCI Korea
278540,KODEX MSCI Korea TR
251350,KODEX MSCI선진국
269420,KODEX S&P글로벌인프라(합성)
0193T0,KODEX SK하이닉스단일종목레버리지
433970,KODEX TDF2030액티브 적격
433980,KODEX TDF2040액티브 적격
434060,KODEX TDF2050액티브 적격
0082V0,KODEX TDF2060액티브 적격
329650,KODEX TRF3070
329660,KODEX TRF5050
329670,KODEX TRF7030
395170,KODEX Top10동일가중
315930,KODEX Top5PlusTR
261220,KODEX WTI원유선물(H)
271050,KODEX WTI원유선물인버스(H)
468370,KODEX iShares미국인플레이션국채액티브
468630,KODEX iShares미국투자등급회사채액티브
468380,KODEX iShares미국하이일드액티브
275290,KODEX 가치주
117700,KODEX 건설
300950,KODEX 게임산업
266390,KODEX 경기소비재
279530,KODEX 고배당주
132030,KODEX 골드선물(H)
280940,KODEX 골드선물인버스(H)
138910,KODEX 구리선물(H)
471230,KODEX 국고채10년액티브
439870,KODEX 국고채30년액티브
114260,KODEX 국고채3년
152380,KODEX 국채선물10년
176950,KODEX 국채선물10년인버스
292770,KODEX 국채선물3년인버스
276990,KODEX 글로벌로봇(합성)
476070,KODEX 글로벌비만치료제TOP2 Plus
0064K0,KODEX 금액티브
0089D0,KODEX 금융고배당TOP10
498410,KODEX 금융고배당TOP10타겟위클리커버드콜
0162M0,KODEX 금융채1~2년(AA-이상)PLUS액티브
102960,KODEX 기계장비
404260,KODEX 기후변화솔루션
273140,KODEX 단기변동금리부채권액티브
153130,KODEX 단기채권
214980,KODEX 단기채권PLUS
487950,KODEX 대만테크고배당다우존스
122630,KODEX 레버리지
445290,KODEX 로봇액티브
488770,KODEX 머니마켓액티브
321410,KODEX 멀티에셋하이인컴(H)
337120,KODEX 멀티팩터
401470,KODEX 메타버스액티브
244620,KODEX 모멘텀Plus
275280,KODEX 모멘텀주
308620,KODEX 미국10년국채선물
0091C0,KODEX 미국10년국채액티브(H)
484790,KODEX 미국30년국채액티브(H)
304660,KODEX 미국30년국채울트라선물(H)
304670,KODEX 미국30년국채울트라선물인버스(H)
481060,KODEX 미국30년국채타겟커버드콜(합성 H)
0173Y0,KODEX 미국AI광통신네트워크
0151S0,KODEX 미국AI반도체TOP3플러스
0041D0,KODEX 미국AI소프트웨어TOP10
487230,KODEX 미국AI전력핵심인프라
485540,KODEX 미국AI테크TOP10
483280,KODEX 미국AI테크TOP10타겟커버드콜
428560,KODEX 미국ETF산업Top10 Indxx
379800,KODEX 미국S&P500
449180,KODEX 미국S&P500(H)
453660,KODEX 미국S&P500경기소비재
453650,KODEX 미국S&P500금융
0005A0,KODEX 미국S&P500데일리커버드콜OTM
276970,KODEX 미국S&P500배당귀족커버드콜(합성 H)
0026E0,KODEX 미국S&P500버퍼3월액티브
0068M0,KODEX 미국S&P500버퍼6월액티브
0089C0,KODEX 미국S&P500변동성확대시커버드콜
200030,KODEX 미국S&P500산업재(합성)
219480,KODEX 미국S&P500선물(H)
0041E0,KODEX 미국S&P500액티브
218420,KODEX 미국S&P500에너지(합성)
463640,KODEX 미국S&P500유틸리티
463690,KODEX 미국S&P500커뮤니케이션
463680,KODEX 미국S&P500테크놀로지
453630,KODEX 미국S&P500필수소비재
453640,KODEX 미국S&P500헬스케어
185680,KODEX 미국S&P바이오(합성)
0028X0,KODEX 미국금융테크액티브
379810,KODEX 미국나스닥100
449190,KODEX 미국나스닥100(H)
494300,KODEX 미국나스닥100데일리커버드콜OTM
409820,KODEX 미국나스닥100레버리지(합성 H)
304940,KODEX 미국나스닥100선물(H)
409810,KODEX 미국나스닥100선물인버스(H)
411420,KODEX 미국나스닥AI테크액티브
455030,KODEX 미국달러SOFR금리액티브(합성)
261240,KODEX 미국달러선물
261250,KODEX 미국달러선물레버리지
261270,KODEX 미국달러선물인버스
261260,KODEX 미국달러선물인버스2X
0144M0,KODEX 미국드론UAM TOP10
280930,KODEX 미국러셀2000(H)
0048J0,KODEX 미국머니마켓액티브
390390,KODEX 미국반도체
489250,KODEX 미국배당다우존스
483290,KODEX 미국배당다우존스타겟커버드콜
441640,KODEX 미국배당커버드콜액티브
352560,KODEX 미국부동산리츠(H)
314250,KODEX 미국빅테크10(H)
473460,KODEX 미국서학개미
0144L0,KODEX 미국성장커버드콜액티브
390400,KODEX 미국스마트모빌리티S&P
0167Z0,KODEX 미국우주항공
0132H0,KODEX 미국원자력SMR
437080,KODEX 미국종합채권ESG액티브(H)
419420,KODEX 미국클린에너지나스닥
491090,KODEX 미국테크TOP3플러스
0038A0,KODEX 미국휴머노이드로봇
244580,KODEX 바이오
091160,KODEX 반도체
494310,KODEX 반도체레버리지
0190G0,KODEX 반도체타겟위클리커버드콜
0080G0,KODEX 방산TOP10
0100K0,KODEX 방산TOP10레버리지
325020,KODEX 배당가치
244670,KODEX 밸류Plus
140700,KODEX 보험
102780,KODEX 삼성그룹
213610,KODEX 삼성그룹밸류
0177N0,KODEX 삼성전자SK하이닉스채권혼합50
0193W0,KODEX 삼성전자단일종목레버리지
448330,KODEX 삼성전자채권혼합
325010,KODEX 성장주
385510,KODEX 신재생에너지액티브
446690,KODEX 아시아AI반도체exChina액티브
437070,KODEX 아시아달러채권ESG플러스액티브
117460,KODEX 에너지화학
275300,KODEX 우량주
140710,KODEX 운송
0098F0,KODEX 원자력SMR
395150,KODEX 웹툰&드라마
456250,KODEX 유럽명품TOP10 STOXX
400570,KODEX 유럽탄소배출권선물ICE(H)
144600,KODEX 은선물(H)
091170,KODEX 은행
453810,KODEX 인도Nifty50
453820,KODEX 인도Nifty50레버리지(합성)
0000H0,KODEX 인도Nifty미드캡100
477730,KODEX 인도타타그룹
114800,KODEX 인버스
101280,KODEX 일본TOPIX100
352540,KODEX 일본부동산리츠(H)
091180,KODEX 자동차
385520,KODEX 자율주행액티브
363570,KODEX 장기종합채권(AA-이상)액티브
0115D0,KODEX 조선TOP10
273130,KODEX 종합채권(AA-이상)액티브
0153K0,KODEX 주주환원고배당주
102970,KODEX 증권
419430,KODEX 차이나2차전지MSCI(합성)
169950,KODEX 차이나A50
0162L0,KODEX 차이나AI반도체TOP10
428510,KODEX 차이나AI테크액티브
283580,KODEX 차이나CSI300
099140,KODEX 차이나H
