date,mfbt gross excess,mfbt costed excess,origin gross excess,origin costed excess,origin minus mfbt gross,origin minus mfbt costed
2022-12-31,0.020162240398532205,0.020162240398532205,0.020162240398532205,0.020162240398532205,0.0,0.0
2023-01-31,0.00021717323023628943,-4.672524450666238e-05,-0.0001312906542333403,-0.00020110476098211816,-0.00034878424145923237,-0.00015509169170524473
2023-02-28,-0.000833591669204381,-0.001150078204772309,0.00026791360316402724,0.00021463930530751796,0.0011010492851319942,0.0013648320529846547
2023-03-31,0.0006007108615546652,0.00032525471003519435,0.001361770406147711,0.0012800423943937211,0.0007601215472277101,0.0009539780751768312
2023-04-30,-0.002249719930065175,-0.0025863966852899267,-0.0019725909068711855,-0.0020607310238787147,0.00027502508708687756,0.0005243760427293687
2023-05-31,8.717108909461757e-05,-0.00019851688079697283,0.0005338922239135346,0.0004226305297836408,0.00044432628575052924,0.000619078652875027
2023-06-30,0.0018206732706373963,0.0014894860765097828,0.0033540813480079645,0.0031831807626507835,0.0015313744463123502,0.0016918335227920078
2023-07-31,-0.0036786699216181384,-0.004027231712650292,-0.004601586621565401,-0.004695021285854417,-0.0009275540289831463,-0.0006715290846101007
2023-08-31,0.0001073969757865445,-0.00014325199838194358,0.0023013089053582902,0.0021855674831154914,0.0021919623998509774,0.0023273738776803388
2023-09-30,0.0005278296190438514,0.00027913803701684614,-7.512605776205383e-05,-0.00015951872749275786,-0.0006029240860387919,-0.0004389628317360561
2023-10-31,0.0009832138763814502,0.0006602943634246294,0.0032336064161802014,0.0031023841695076992,0.0022462081199887685,0.002438355092395872
2023-11-30,0.0025477068933907887,0.0021935424723535935,0.001145677777670162,0.0009777490032043534,-0.001401495111931217,-0.0012160664658950049
2023-12-31,-0.0031996422638747024,-0.0034914480248133817,-0.0021970377798130603,-0.0024305931652908175,0.0010032087970626158,0.0010620644862988637
2024-01-31,0.001081981644860397,0.0007680250592276838,0.00026682543340195153,6.455130377358564e-05,-0.0008179026217415286,-0.0007064244606959091
2024-02-29,0.0005403744306629044,0.00019848667881716686,-0.003094071054537184,-0.0032563776530720734,-0.0036332023326062224,-0.0034551163795543127
2024-03-31,0.0016342966942894943,0.0013269139270268848,-0.0002074135443244085,-0.0003632351872923101,-0.0018399340076716841,-0.0016890123141030111
2024-04-30,0.0014115345644551969,0.0011327187840239894,0.002252029301740066,0.002157782791644358,0.0008344722420490225,0.0010193659801829291
2024-05-31,0.00014945962535795054,-0.0002186102007502022,0.002915155455853302,0.002827298609084483,0.002762514974288699,0.003043382797552674
2024-06-30,0.0015724645920116576,0.0013341860927986726,0.002306847644151455,0.002165703136028707,0.0007328775975576907,0.000829998656592279
2024-07-31,-0.0009525332906791251,-0.001235604830846282,-0.0026859480839035443,-0.002783460404335969,-0.0017357150963808188,-0.0015503631277100638
2024-08-31,-0.0030215376065704236,-0.0033295994477373636,-0.0015862219464972682,-0.0018362336399253554,0.0014364502604018448,0.0014951074919393736
2024-09-30,-0.00015707141614507147,-0.0003465092786937296,-0.00023187948055658492,-0.0004866006401520462,-7.472073242942301e-05,-0.00014009196114173061
2024-10-31,0.0004706125566884545,0.0003384626281544012,0.0023789138599625836,0.002269210602254157,0.001906133928603726,0.0019286842727195275
