date,mfbt_emp008_70bp_36m_sum_abs_active_weight,mfbt_emp008_70bp_36m_active_share,mfbt_emp008_70bp_36m_sum_abs_active_weight_pct,mfbt_emp008_70bp_36m_active_share_pct,origin_emp008_sum_abs_active_weight,origin_emp008_active_share,origin_emp008_sum_abs_active_weight_pct,origin_emp008_active_share_pct
2022-12-29,0.1601364781679888,0.08006823908399441,16.01364781679888,8.00682390839944,0.1687636802196174,0.08438184010980872,16.87636802196174,8.438184010980871
2023-01-31,0.1682240465301676,0.0841120232650838,16.82240465301676,8.411202326508379,0.1677364055026139,0.08386820275130695,16.77364055026139,8.386820275130695
2023-02-28,0.1944720294968713,0.09723601474843567,19.44720294968714,9.723601474843568,0.1713746954409801,0.08568734772049005,17.13746954409801,8.568734772049005
2023-03-31,0.1734648199054118,0.08673240995270588,17.34648199054118,8.673240995270588,0.1762883653707302,0.08814418268536511,17.62883653707302,8.814418268536512
2023-04-28,0.1980959498695297,0.09904797493476485,19.80959498695297,9.904797493476485,0.1721914159290343,0.08609570796451714,17.21914159290343,8.609570796451713
2023-05-31,0.1642087356634679,0.08210436783173397,16.4208735663468,8.210436783173398,0.1744256629312446,0.0872128314656223,17.44256629312446,8.721283146562229
2023-06-30,0.1803886672654126,0.0901943336327063,18.03886672654126,9.01943336327063,0.1596509642914536,0.0798254821457268,15.96509642914536,7.982548214572679
2023-07-31,0.2008964160857807,0.1004482080428904,20.08964160857807,10.04482080428904,0.1541738209625629,0.07708691048128143,15.41738209625628,7.708691048128142
2023-08-31,0.1770718871023047,0.08853594355115237,17.70718871023047,8.853594355115236,0.1705536885046738,0.0852768442523369,17.05536885046738,8.52768442523369
2023-09-27,0.1273562788895524,0.0636781394447762,12.73562788895524,6.36781394447762,0.1614393191349149,0.08071965956745747,16.14393191349149,8.071965956745746
2023-10-31,0.2152270346720919,0.1076135173360459,21.52270346720919,10.7613517336046,0.1726438899283801,0.08632194496419004,17.26438899283801,8.632194496419004
2023-11-30,0.1865982640072262,0.09329913200361312,18.65982640072262,9.329913200361311,0.1738891616102538,0.0869445808051269,17.38891616102538,8.69445808051269
2023-12-28,0.1665156799359601,0.08325783996798004,16.65156799359601,8.325783996798004,0.1930915449360269,0.09654577246801344,19.30915449360269,9.654577246801344
2024-01-31,0.1871638866734946,0.09358194333674731,18.71638866734946,9.358194333674732,0.1613086519606405,0.08065432598032023,16.13086519606405,8.065432598032023
2024-02-29,0.1901691558917107,0.09508457794585533,19.01691558917107,9.508457794585533,0.1778195332362965,0.08890976661814824,17.78195332362965,8.890976661814824
2024-03-29,0.1508505984408774,0.07542529922043868,15.08505984408774,7.542529922043868,0.1748388666309653,0.08741943331548267,17.48388666309653,8.741943331548267
2024-04-30,0.203072403944644,0.101536201972322,20.3072403944644,10.1536201972322,0.176997823659894,0.08849891182994701,17.6997823659894,8.849891182994702
2024-05-31,0.1524671049637097,0.07623355248185484,15.24671049637097,7.623355248185485,0.1752373052740717,0.08761865263703585,17.52373052740717,8.761865263703585
2024-06-28,0.151712644686159,0.07585632234307949,15.1712644686159,7.585632234307949,0.15963704317676,0.07981852158837999,15.963704317676,7.981852158837999
2024-07-31,0.2120454514225756,0.1060227257112878,21.20454514225755,10.60227257112878,0.149366439438089,0.0746832197190445,14.9366439438089,7.46832197190445
2024-08-30,0.1226275532006248,0.0613137766003124,12.26275532006248,6.13137766003124,0.2086647974398735,0.1043323987199368,20.86647974398736,10.43323987199368
2024-09-30,0.1131396090814172,0.05656980454070861,11.31396090814172,5.656980454070861,0.158496865634906,0.07924843281745299,15.8496865634906,7.924843281745299
2024-10-31,0.1216841620728171,0.06084208103640856,12.16841620728171,6.084208103640855,0.1730590186582007,0.08652950932910033,17.30590186582007,8.652950932910034
2024-11-29,0.1202889855166549,0.06014449275832747,12.02889855166549,6.014449275832747,0.167194812175712,0.083597406087856,16.7194812175712,8.3597406087856
2024-12-30,0.1586773592669318,0.07933867963346589,15.86773592669318,7.933867963346589,0.163812397798474,0.08190619889923702,16.38123977984741,8.190619889923703
2025-01-31,0.1565092613408639,0.07825463067043195,15.65092613408639,7.825463067043195,0.1441711930442686,0.07208559652213432,14.41711930442687,7.208559652213433
2025-02-28,0.1466399253270298,0.0733199626635149,14.66399253270298,7.331996266351489,0.1469231505527308,0.0734615752763654,14.69231505527308,7.346157527636541
