date,returns
2020-01-02,-0.010911030115937748
2020-01-03,0.022541834807326078
2020-01-06,0.369888220396805
2020-01-07,0.004399479111577342
2020-01-08,-0.006623615212625444
2020-01-09,0.027264477129531173
2020-01-10,0.034478132651154736
2020-01-13,0.021336891206624742
2020-01-14,-0.004287131981051351
2020-01-15,-0.008758980319833465
2020-01-16,0.003038942405884537
2020-01-17,0.004839467781555751
2020-01-20,-0.013787163244180944
2020-01-21,-0.03028695977837148
2020-01-22,0.009417676459929414
2020-01-23,-0.01155444946831563
2020-01-28,0.029542015982997105
2020-01-29,0.0034795617852672045
2020-01-30,-0.023716581512864154
2020-01-31,-0.011538526534910054
2020-02-03,0.011837524101544483
2020-02-04,0.008427968864594071
2020-02-05,-0.011796676292793462
2020-02-06,0.003565798257528785
2020-02-07,-0.003991978628408055
2020-02-10,-0.08389696096591615
2020-02-11,0.006046318262944217
2020-02-12,-0.00021904701339037214
2020-02-13,-0.005731821781495006
2020-02-14,0.008671950565291242
2020-02-17,-0.0013608268500092668
2020-02-18,0.002996325030196756
2020-02-19,0.035669109507441066
2020-02-20,0.003466608958214268
2020-02-21,-0.012571714264252631
2020-02-24,-0.011182070766167174
2020-02-25,0.0006849749737287691
2020-02-26,-0.004791538132323581
2020-02-27,0.004638838727183625
2020-02-28,-0.0019959784765102295
2020-03-02,-0.002605201668186896
2020-03-03,0.022508144354692616
2020-03-04,0.02525742930655528
2020-03-05,0.0036164935241982388
2020-03-06,0.002221327238595361
2020-03-09,-0.01108781571534434
2020-03-10,-0.016735902440638384
2020-03-11,-0.0191887202302633
2020-03-12,-0.010415408232288703
2020-03-13,-0.015352850108824034
2020-03-16,0.043291700529106025
2020-03-17,0.04089890082326253
2020-03-18,0.006323273292731857
2020-03-19,-0.006905431844282939
2020-03-20,0.0048090381395031745
2020-03-23,-0.004233150597051649
2020-03-24,-0.010246708317178888
2020-03-25,-0.051159980827193974
2020-03-26,-0.008864940180548064
2020-03-27,0.02164322695813259
2020-03-30,0.044192412564282746
2020-03-31,0.01878741273343376
2020-04-01,0.009808256191228715
2020-04-02,0.0055823951458569
2020-04-03,-0.0021148354696817195
2020-04-06,0.07947500836578691
2020-04-07,0.04196218323400869
2020-04-08,-0.004768558793828093
2020-04-09,0.006760937440460246
2020-04-10,-0.00805521803539666
2020-04-13,-0.021684147981250845
2020-04-14,0.002304100644634266
2020-04-16,0.007205495813692231
2020-04-17,-0.013167381426897218
2020-04-20,0.00933583133591731
2020-04-21,-0.0008288350688406831
2020-04-22,-0.0007641575593688721
2020-04-23,0.016049179046077278
2020-04-24,0.001963703122978444
