date,monthly_returns
2020-01-31,0.145762716270331
2020-02-29,-0.06673378343490877
2020-03-31,-0.055401301729911534
2020-04-30,0.15836683215702374
2020-05-31,-0.019920118665830877
2020-06-30,0.019210305268177796
2020-07-31,0.10950268394216378
2020-08-31,0.04694593404329361
2020-09-30,0.019547613970741118
2020-10-31,-0.008357470724305704
2020-11-30,0.0012548978161266433
2020-12-31,0.03770023968635994
2021-01-31,0.03145827326724837
2021-02-28,0.03307134923070065
2021-03-31,0.012392850106349274
2021-04-30,0.06660334804337431
2021-05-31,0.09662459425340209
2021-06-30,0.007370186461781669
2021-07-31,0.02729553956989017
2021-08-31,0.05789266108950675
2021-09-30,-0.012347997604928995
2021-10-31,-0.023736574704609104
2021-11-30,-0.0022918855328577514
2021-12-31,0.056037738943931936
2022-01-31,0.006238234034136481
2022-02-28,0.05504690139081858
2022-03-31,0.042725087471883194
2022-04-30,0.11902742678369949
2022-05-31,-0.024462910606598
2022-06-30,0.01583877088863983
2022-07-31,-0.001684598202836618
2022-08-31,0.07266335262281065
2022-09-30,-0.015212918659142538
2022-10-31,0.053436385852786206
2022-11-30,0.005434113726037193
2022-12-31,-0.012620018707126701
2023-01-31,9.53890166073279e-05
2023-02-28,-0.02988504104930023
2023-03-31,-0.058022172221115276
2023-04-30,0.012483535726031336
2023-05-31,0.034550962348087966
2023-06-30,0.04674509382046854
2023-07-31,-0.030742782673244817
2023-08-31,0.2491561827286839
2023-09-30,-0.026077521769214074
2023-10-31,-0.022024570299910784
2023-11-30,0.047784826416279014
2023-12-31,-0.0022787516359278337
2024-01-31,0.029260418510520525
2024-02-29,0.11678854345601053
2024-03-31,0.00581201129824116
2024-04-30,0.23479980571487125
2024-05-31,0.07514177799059651
2024-06-30,0.002677916875662545
2024-07-31,0.1023946237618627
2024-08-31,-0.0063852713622027935
2024-09-30,0.09303680379064683
2024-10-31,0.01343727686865126
2024-11-30,0.03331484485296965
2024-12-31,0.07576218649360866
2025-01-31,0.12083762637806039
2025-02-28,0.12223205620738331
2025-03-31,0.06365520539535474
2025-04-30,0.08840375526035693
2025-05-31,0.23297508075965223
2025-06-30,0.12204921925578227
2025-07-31,0.0016468831301641451
2025-08-31,0.03693732408175032
2025-09-30,0.06238419925228289
2025-10-31,0.14591249301807685
2025-11-30,0.010322607713234344
2025-12-31,0.04295166386733773
2026-01-31,0.29784192049052916
2026-02-28,0.08965422012595847
2026-03-31,-0.08376479699747319
2026-04-30,0.27416415519715054
2026-05-31,0.03228741653940692
