code,name,status,source_url,page_url,file_path,sha256,bytes,query,error,provider,index_name,source_type,confidence
0150K0,KoAct 수소전력ESS인프라액티브,downloaded,https://file.fnguide.com/fnindex/files/FnGuide Hydrogen Power ESS Infra Index _Methodology_Book_(20251117)_v1.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.SEH,etfs\output\methodologies\0150K0_57af2cacda3c.pdf,57af2cacda3c4d0fd4d09bdbaedc1d9c8f10429f19679dd462c9d8b3a55a3117,1743163,fnindex_catalog,,fnguide,FnGuide 수소전력ESS인프라 지수,methodology_pdf,high
388280,RISE K엔터&여행레저,downloaded,,,etfs\output\methodologies\388280_8bf34ee452fc.pdf,8bf34ee452fcfbd38ad43a4da74a02a33bd22dd83d6aabbb3ece5882a8a87389,1373496,existing_cache,,fnguide,,methodology_pdf_cache,high
0104G0,PLUS K방산레버리지,downloaded,https://file.fnguide.com/fnindex/files/FnGuide Secondary_Battery_Industry_Leverage_Index_TR_Methodology_Book_(20240715)_v1.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.L05,etfs\output\methodologies\0104G0_1ea7f5ede368.pdf,1ea7f5ede3680a9207f7b6fbe39f9b6e696b6394354a3cf8e617167835623126,743603,fnindex_catalog,,fnguide,FnGuide 2차전지 산업 레버리지 지수(총수익),methodology_pdf,high
367740,HANARO Fn5G산업,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_5G Industry_Index_Methodology_Book_NHA_(20200820)_v1.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.NH5,etfs\output\methodologies\367740_b31513bf9d04.pdf,b31513bf9d04833b0cc1fcd84a2d49b5f4e06edf2f26cfb207893937ea763851,972051,fnindex_catalog,,fnguide,FnGuide 5G 산업 지수,methodology_pdf,high
368190,HANARO Fn K-뉴딜디지털플러스,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_K-NewDeal_Digital_Plus_Index_Methodology_Book_(20200928)_v1.5.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.SND,etfs\output\methodologies\368190_65a4282dd972.pdf,65a4282dd9723d8ce0fdbe60cd8c15d678579024c33a6482d942af45b38bf004,935895,fnindex_catalog,,fnguide,FnGuide K-뉴딜 디지털 플러스 지수,methodology_pdf,high
300950,KODEX 게임산업,downloaded,,,etfs\output\methodologies\300950_1e987e725fc3.pdf,1e987e725fc3e8f89d02c99e4732da0c8491a8839eff2b43b784d2bc23796fb5,935445,existing_cache,,fnguide,,methodology_pdf_cache,high
337120,KODEX 멀티팩터,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Multi-Factor_Index_Methodology_Book_(20191212)_v1.1.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.SMF,etfs\output\methodologies\337120_256ce8ee50d6.pdf,256ce8ee50d61712d6e3b8e8e7e8d612f685ccd309bec8a1538d3010eeeed7a4,665768,fnindex_catalog,,fnguide,FnGuide 멀티팩터,methodology_pdf,high
385600,ACE 2차전지&친환경차액티브,downloaded,,,etfs\output\methodologies\385600_8ae0b61a17ae.pdf,8ae0b61a17aee707cb3b6f881d17fe24442e30d1529f5b42006f4656169caaff,1055645,existing_cache,,fnguide,,methodology_pdf_cache,high
479850,HANARO K-뷰티,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_K-Beauty_Index_Methodology_Book_(20231114)_v1.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.NHB,etfs\output\methodologies\479850_60faea437008.pdf,60faea437008e84cfc4a0e9fd7c6861f1bfb3986a66fb479e078375041565575,1810438,fnindex_catalog,,fnguide,FnGuide K-뷰티 지수,methodology_pdf,high
445690,BNK 주주가치액티브,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_K-Shareholder_Value_Index_Methodology_Book_(20240624)_v1.2.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.KAV,etfs\output\methodologies\445690_3dcfffc116a2.pdf,3dcfffc116a2e9fbd6dc64f8cdf4f81a0dba011dc923c7118cb334ce65539298,1352499,fnindex_catalog,,fnguide,FnGuide K-주주가치 지수,methodology_pdf,high
