code,name,index_name,methodology_status,methodology_file,family,rebalance_frequency,rebalance_months,weighting_scheme,readiness,next_action,missing_data
476260,HANARO 반도체핵심공정주도주,FnGuide Semiconductor Core Process Tech Leaders Index,available,etfs\output\methodologies\476260_ee8565063925.pdf,keyword_theme,quarterly,"3,6,9,12",custom_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|custom_index_formula_inputs|fics_industry_classification|free_float_ratio|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
147970,TIGER 모멘텀,FnGuide Momentum Index,available,etfs\output\methodologies\147970_973fb7868147.pdf,equal_weight,quarterly,"1,4,7,10",equal_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
442090,에셋플러스 코리아대장장이액티브,FnGuide Blacksmith Index,available,etfs\output\methodologies\442090_f73617e1e338.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
400970,TIGER Fn메타버스,FnGuide K-Metaverse MZ Index,available,etfs\output\methodologies\400970_7942b9107d76.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
322410,HANARO K고배당,FnGuide KQ High Dividend Focus Index,available,etfs\output\methodologies\322410_facff45e9403.pdf,dividend,semiannual,"4,5",float_market_cap_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
447430,ACE 주주환원가치주액티브,FnGuide Korea All-round Value Index,available,etfs\output\methodologies\447430_68ca6cbd7a46.pdf,equal_weight,quarterly,"3,6,9,12",equal_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
0178H0,IBK 미국AI TOP10국채혼합50,FnGuide 미국AITOP10 지수,available,etfs\output\methodologies\0178H0_dcd5e0abacfc.pdf,dividend,semiannual,"5,11",market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|dividend_data|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
380340,ACE 코리아AI테크핵심산업,FnGuide Korea AI Tech Core Industry Index,available,etfs\output\methodologies\380340_a0fd547b69bf.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
395170,KODEX Top10동일가중,FnGuide Size/Style Index Series,available,etfs\output\methodologies\395170_60b5df44287f.pdf,dividend,semiannual,"6,12",float_market_cap_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
322400,HANARO e커머스,FnGuide E-Commerce Index,available,etfs\output\methodologies\322400_77f341f3bdc6.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
464600,SOL 자동차소부장Fn,FnGuide Automobile Materials & Equipment Index,available,etfs\output\methodologies\464600_c065530b275c.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
