date,returns
2020-01-02,-0.00638265618831213
2020-01-03,0.008811644971803423
2020-01-06,-0.05256889367736706
2020-01-07,0.002178414321704736
2020-01-08,0.01654485547594997
2020-01-09,0.026794992422462416
2020-01-10,0.007011528631776676
2020-01-13,0.09416045996508693
2020-01-14,-0.01822039363889727
2020-01-15,-0.019211425563039453
2020-01-16,0.011665426789849498
2020-01-17,0.005204281765607277
2020-01-20,-0.02319560263065701
2020-01-21,-0.008075901712128797
2020-01-22,0.01982697296760061
2020-01-23,0.00351079163069401
2020-01-28,-0.02931490758057753
2020-01-29,0.0037793842357840557
2020-01-30,-0.02062644168220229
2020-01-31,-0.014160306549117374
2020-02-03,-0.008196893692308915
2020-02-04,0.021359999378201433
2020-02-05,-0.009467319718065692
2020-02-06,0.022411052271519738
2020-02-07,-0.008564244938736199
2020-02-10,0.010599451956303518
2020-02-11,0.024129045920530334
2020-02-12,0.013180403169521737
2020-02-13,0.0029495220267969913
2020-02-14,-0.028765686659435907
2020-02-17,0.0021403353998874497
2020-02-18,0.001268833561931082
2020-02-19,0.02931144522857898
2020-02-20,0.003904522646498876
2020-02-21,-0.006724416044781356
2020-02-24,-0.02380169438112234
2020-02-25,-0.0060825926471201885
2020-02-26,0.004020750106420223
2020-02-27,-0.01918411545101284
2020-02-28,-0.016793530145802094
2020-03-02,0.021738271376346763
2020-03-03,-0.007742752713524204
2020-03-04,0.02025287483402094
2020-03-05,-0.014754220611798763
2020-03-06,-0.011731191644195671
2020-03-09,-0.0356125449325263
2020-03-10,-0.006400393208157662
2020-03-11,-0.000353348096247208
2020-03-12,-0.030475299628967556
2020-03-13,-0.02570497604270594
2020-03-16,0.03443110139444672
2020-03-17,-0.010163732840741124
2020-03-18,0.028186379080208157
2020-03-19,-0.01572204986620085
2020-03-20,-0.008582971753803403
2020-03-23,-0.033619560184329544
2020-03-24,0.009633594420275227
2020-03-25,0.0038347095259461117
2020-03-26,-0.009457133701904152
2020-03-27,0.013803972032215617
2020-03-30,-0.02899394842200742
2020-03-31,-0.010755147124098308
2020-04-01,0.013265409635197845
2020-04-02,-0.010602379447394394
2020-04-03,0.0047600213807639236
2020-04-06,0.01832906380095123
2020-04-07,-0.03848134498528899
2020-04-08,-0.008639176894986611
2020-04-09,-0.021500989941115933
2020-04-10,-0.01175407299983633
2020-04-13,0.04848654330351243
2020-04-14,-0.006098660989544258
2020-04-16,-0.02090674386057978
2020-04-17,-0.02984784616649183
2020-04-20,0.01937228719040296
2020-04-21,-0.006123741192667009
2020-04-22,-0.00018055012508344515
2020-04-23,0.03408357725754696
2020-04-24,-0.016711515305755764
2020-04-27,-0.011162438417879228
2020-04-28,0.0013625473974712143
2020-04-29,-0.02964597742036046
2020-05-04,-0.01738860606831172
2020-05-06,-0.016540439152799347
2020-05-07,0.01494788324530072
2020-05-08,-0.015028304627463074
2020-05-11,0.005181571564484955
2020-05-12,0.039018399293053285
2020-05-13,0.04036580974327597
2020-05-14,0.0015440292921307108
2020-05-15,0.011200573450843576
2020-05-18,-0.012212634721080584
2020-05-19,-0.03850896176841423
2020-05-20,0.007603940855688496
2020-05-21,-0.007348193878220943
2020-05-22,-0.007435604527691986
2020-05-25,0.01142085347894084
2020-05-26,-0.020485814138624603
2020-05-27,0.010288663663142295
2020-05-28,-0.002622562947831142
2020-05-29,0.0025398458944425606
2020-06-01,0.010570287329454864
2020-06-02,0.030592911192503625
2020-06-03,0.0009841109438446516
2020-06-04,-0.015764411393821676
2020-06-05,-0.029085123010353375
2020-06-08,-0.028791765572739436
2020-06-09,0.0060936302614635895
2020-06-10,-0.005454450007139178
2020-06-11,0.013958186955263407
2020-06-12,-0.022346323431865822
2020-06-15,-0.057621127303218
2020-06-16,0.04792639686106703
2020-06-17,-0.012111488406696846
2020-06-18,0.015467411742645654
2020-06-19,-0.01800587441716439
2020-06-22,-0.014558721190752522
2020-06-23,-1.0631685891882015e-05
2020-06-24,0.011248532163105729
2020-06-25,-0.030899617570809612
2020-06-26,0.01386911082004949
2020-06-29,-0.03627672622488909
2020-06-30,0.0003694941896397186
2020-07-01,-0.005768427977644097
2020-07-02,0.021020707816886475
2020-07-03,-0.00917816826518858
2020-07-06,0.005641953003699962
2020-07-07,-0.009660784981508463
2020-07-08,-0.001525374362055687
2020-07-09,0.04076345482245869
2020-07-10,0.0010898791989455425
2020-07-13,0.0025184751283400253
2020-07-14,0.014758441660111199
2020-07-15,-0.04259520018120477
2020-07-16,-0.026626035909239065
2020-07-17,0.007848263738716055
2020-07-20,0.0065158907004179145
2020-07-21,0.07542241054995746
2020-07-22,0.016681434562575204
2020-07-23,-0.022162288965445476
2020-07-24,-0.019984662019352784
2020-07-27,0.005904420768885421
2020-07-28,-0.003623820771279318
2020-07-29,0.009940108262036063
2020-07-30,0.005865475009387167
2020-07-31,-0.008248124548828284
2020-08-03,0.014004588388484729
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-10,0.006131175977485359
2020-08-11,0.01587396989136547
2020-08-12,-0.042478531713116885
2020-08-13,-0.007783720618547818
2020-08-14,-0.03312151645370509
2020-08-18,-0.012630590006131093
2020-08-19,0.021343270837828276
2020-08-20,-0.013901297041941763
