date,monthly_returns
2020-01-31,1.0457317477066397
2020-02-29,0.15241417741936703
2020-03-31,0.09387230325041473
2020-04-30,-0.03449525641920215
2020-05-31,-0.016412109753370485
2020-06-30,-0.0029003155634967914
2020-07-31,0.04368492656923073
2020-08-31,0.015868844315765518
2020-09-30,-0.04154496123757123
2020-10-31,0.0036495066007087296
2020-11-30,0.08388054518119525
2020-12-31,0.06932459925238987
2021-01-31,-0.005787772404071356
2021-02-28,0.06767207942511977
2021-03-31,-0.10613957288394593
2021-04-30,0.14245216711817443
2021-05-31,0.06716275939615723
2021-06-30,-0.08804957047881445
2021-07-31,0.19052507687109643
2021-08-31,0.04174573563167505
2021-09-30,0.12884922768784857
2021-10-31,-0.07041345260277188
2021-11-30,0.030689726513594806
2021-12-31,-0.06536145281006644
2022-01-31,-0.01960533371257267
2022-02-28,0.011125723244979735
2022-03-31,0.07038305039488435
2022-04-30,0.08526126986508942
2022-05-31,-0.0028991134578634226
2022-06-30,0.07095257198048244
2022-07-31,-0.03275443951056611
2022-08-31,0.03314040256430428
2022-09-30,-0.09412729189078628
2022-10-31,0.1451147547039866
2022-11-30,-0.08564736732327438
2022-12-31,-0.04761268856556555
2023-01-31,-0.011057691192071895
2023-02-28,0.014100690245189673
2023-03-31,0.03231964464369552
2023-04-30,0.012845158564376069
2023-05-31,0.06226148274587229
2023-06-30,-0.0041373139320698415
2023-07-31,0.06845865368273407
2023-08-31,0.20206242479421466
2023-09-30,-0.010166786839271968
2023-10-31,0.0158213553953086
2023-11-30,-0.0032466445602675753
2023-12-31,-0.019643424116870367
2024-01-31,-0.04575598373284384
2024-02-29,0.061961861483653013
2024-03-31,-0.09975861596661761
2024-04-30,0.3162939994347216
2024-05-31,0.08657277851874201
2024-06-30,-0.062245563758635325
2024-07-31,0.014595520540865214
2024-08-31,-0.05058056794057486
2024-09-30,0.08400136549255133
2024-10-31,0.087455051719185
2024-11-30,0.06993274857788312
2024-12-31,-0.05787417493364955
2025-01-31,0.13544862445959516
2025-02-28,0.265406463963191
2025-03-31,-0.02455012988114702
2025-04-30,0.16133880401081901
2025-05-31,0.24015911782422017
2025-06-30,0.14025672923250987
2025-07-31,-0.0936601919542489
2025-08-31,-0.016110148333195462
2025-09-30,0.04845553178576023
2025-10-31,0.08859594847603303
2025-11-30,-0.010269842013925667
2025-12-31,-0.01525203299647504
2026-01-31,0.31115418995587696
2026-02-28,0.10320360629217529
2026-03-31,-0.10641360952697165
2026-04-30,0.22842152119090775
2026-05-31,-0.030552191811801466
