date,monthly_returns
2020-01-31,0.16379500037651384
2020-02-29,-0.04303315237374927
2020-03-31,0.0008530835350724075
2020-04-30,-0.03816889167779669
2020-05-31,-0.07330790736486337
2020-06-30,-0.04226092458232433
2020-07-31,0.14701043518185064
2020-08-31,-0.010300395664435968
2020-09-30,-0.08264484048818155
2020-10-31,-0.025828524222324067
2020-11-30,-0.0015492910276410088
2020-12-31,0.07288349078696665
2021-01-31,-0.044084989445332456
2021-02-28,0.0651036359125654
2021-03-31,0.021626529253507387
2021-04-30,-0.013527082407426394
2021-05-31,0.15627639814199124
2021-06-30,0.03434783919088091
2021-07-31,0.08821413951851564
2021-08-31,0.07871236171633877
2021-09-30,0.19713425987743283
2021-10-31,-0.09111772498639414
2021-11-30,-0.0018855213437483087
2021-12-31,0.023599035226741005
2022-01-31,0.05731717258079638
2022-02-28,-0.010068406716405298
2022-03-31,0.03618494285130014
2022-04-30,0.11143904289085871
2022-05-31,-0.030340350744165856
2022-06-30,0.05324961594819477
2022-07-31,0.04394277744997721
2022-08-31,0.14895363553336582
2022-09-30,-0.12571676547869814
2022-10-31,-0.007584069725395937
2022-11-30,-0.0018295721684351562
2022-12-31,-0.006057193914981607
2023-01-31,-0.04006071699019431
2023-02-28,0.0022353924766740363
2023-03-31,-0.1445322799869374
2023-04-30,0.14251674887856924
2023-05-31,0.04068868940445558
2023-06-30,0.02280535314862764
2023-07-31,0.10644422514714402
2023-08-31,0.18510437242974298
2023-09-30,-0.05948413739995995
2023-10-31,-0.03753651838873884
2023-11-30,0.024456532136573506
2023-12-31,-0.02153025035492473
2024-01-31,0.0032724241095976048
2024-02-29,0.15199668367915553
2024-03-31,-0.02441003421985588
2024-04-30,0.1765225487841804
2024-05-31,0.0884014768824195
2024-06-30,-0.003341847717500457
2024-07-31,0.08140446751980113
2024-08-31,0.09739686472450648
2024-09-30,0.06702866784994765
2024-10-31,0.09293582821719104
2024-11-30,0.04622612169792095
2024-12-31,0.049907603281457824
2025-01-31,0.2242103410824694
2025-02-28,0.07566904591425616
2025-03-31,0.023892313509560337
2025-04-30,0.11047396042084823
2025-05-31,0.24106596437688999
2025-06-30,0.15487056827349877
2025-07-31,-0.012361544620079545
2025-08-31,-0.10031385145634053
2025-09-30,0.05030871732353481
2025-10-31,0.25257004654835624
2025-11-30,-0.004144052312182733
2025-12-31,0.04735148884124718
2026-01-31,0.08716631236504302
2026-02-28,0.1359916657519311
2026-03-31,-0.06710544976403532
2026-04-30,0.20673104660421937
2026-05-31,-0.017725570462999052
