symbol,target_weight,abs_weight
A006260,0.26923076923076916,0.26923076923076916
A402340,0.25641025641025644,0.25641025641025644
A009150,0.21794871794871795,0.21794871794871795
A069620,-0.19090909090909092,0.19090909090909092
A047040,0.15384615384615385,0.15384615384615385
A005490,0.10256410256410256,0.10256410256410256
A361610,-0.09090909090909091,0.09090909090909091
A015760,-0.08181818181818182,0.08181818181818182
A035250,-0.07272727272727272,0.07272727272727272
A030200,-0.03636363636363636,0.03636363636363636
A024110,-0.02727272727272727,0.02727272727272727
