symbol,qty,abs_qty
A030000,-10870.542437543092,10870.542437543092
A015760,-9585.8814940709,9585.8814940709
A000210,3907.885571420372,3907.885571420372
A011790,2469.6391911583632,2469.6391911583632
A001440,2417.4917622499174,2417.4917622499174
A003490,2273.268581349317,2273.268581349317
A003550,1160.295242470506,1160.295242470506
A047050,817.6903045691503,817.6903045691503
A066970,767.9114404164206,767.9114404164206
A007660,412.93351041260365,412.93351041260365
A036570,397.0903471559567,397.0903471559567
A000720,282.42279423510996,282.42279423510996
A006400,277.30310612245626,277.30310612245626
A011070,190.8851490611071,190.8851490611071
A018260,150.69842396810503,150.69842396810503
A298040,42.11529311107799,42.11529311107799
A000120,32.72465775949726,32.72465775949726
A064400,-5.686192298157266,5.686192298157266
A114090,-0.0002987558927656231,0.0002987558927656231
A071320,-9.150773175055013e-05,9.150773175055013e-05
A259960,-1.0500986257913104e-05,1.0500986257913104e-05
A079550,-3.218325522566512e-06,3.218325522566512e-06
A329180,-2.1208888501203374e-06,2.1208888501203374e-06
A042660,-1.0046530387019777e-07,1.0046530387019777e-07
A064350,-2.471240238723418e-10,2.471240238723418e-10
