symbol,qty,abs_qty
A000210,7001.324101374797,7001.324101374797
A015760,-1561.5955076635728,1561.5955076635728
A047050,1241.6610859640375,1241.6610859640375
A004370,-788.1099814233035,788.1099814233035
A006400,419.6745339437689,419.6745339437689
A042700,67.31199396591977,67.31199396591977
A030000,-0.05052959552533842,0.05052959552533842
A114090,-0.00012006041122165911,0.00012006041122165911
A021240,-2.340989321989069e-05,2.340989321989069e-05
A071320,-2.090533767115047e-05,2.090533767115047e-05
A005300,-1.3594459419836828e-05,1.3594459419836828e-05
A259960,-4.220009576002626e-06,4.220009576002626e-06
A079550,-1.4370464502998443e-06,1.4370464502998443e-06
A329180,-5.755663838541512e-07,5.755663838541512e-07
A042660,-2.9272186704507516e-10,2.9272186704507516e-10
A064350,-1.9227808913744134e-10,1.9227808913744134e-10
