symbol,target_weight,abs_weight
A005490,1.0,1.0
A069620,-0.15416666666666667,0.15416666666666667
A073240,-0.1,0.1
A361610,-0.0625,0.0625
A015760,-0.058333333333333334,0.058333333333333334
A035250,-0.05416666666666667,0.05416666666666667
A030200,-0.029166666666666667,0.029166666666666667
A024110,-0.020833333333333336,0.020833333333333336
A000080,-0.020833333333333332,0.020833333333333332
