code,name,product_family,source_confidence,index_name_candidates,methodology_probe,methodology_url_candidates,next_action
185680,KODEX 미국S&P바이오(합성),foreign_or_global,medium,S&P Biotechnology Select Industry,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-select-industry-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
390400,KODEX 미국스마트모빌리티S&P,foreign_or_global,medium,S&P Kensho Smart Transportation,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-kensho-new-economies.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
269530,PLUS S&P글로벌인프라,foreign_or_global,medium,S&P Global Infrastructure,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-thematic-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
429760,PLUS 미국S&P500,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
269540,PLUS 미국S&P500(H),foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
0057H0,PLUS 미국S&P500미국채혼합50액티브,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
494410,PLUS 미국S&P500성장주,foreign_or_global,medium,S&P 500 Growth,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-style.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
379780,RISE 미국S&P500,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
453330,RISE 미국S&P500(H),foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
0138T0,RISE 미국S&P500데일리고정커버드콜,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
