symbol,qty,abs_qty
A000210,16878.640514618328,16878.640514618328
A006800,5183.508564508367,5183.508564508367
A009830,4406.389645281579,4406.389645281579
A272210,2981.912356182316,2981.912356182316
A036570,1587.6947622060336,1587.6947622060336
A278470,449.85468365080396,449.85468365080396
A006400,436.3887372742009,436.3887372742009
A267250,411.8833622619474,411.8833622619474
A009150,206.1761329801319,206.1761329801319
A298040,29.453733282875984,29.453733282875984
A015760,-0.15287248667500108,0.15287248667500108
A042660,-0.0001468263252533894,0.0001468263252533894
A329180,-1.042239696166203e-07,1.042239696166203e-07
A009540,-1.2176185275558695e-12,1.2176185275558695e-12
