symbol,qty,abs_qty
A000210,7180.751828212876,7180.751828212876
A011170,5863.484201732165,5863.484201732165
A030000,-5477.343310801292,5477.343310801292
A015760,-5243.403576985831,5243.403576985831
A450080,4400.819616926712,4400.819616926712
A185750,-3957.025665595149,3957.025665595149
A034230,2536.748402474231,2536.748402474231
A272210,2392.431704883745,2392.431704883745
A004370,-1333.902879059021,1333.902879059021
A006400,782.5813444982919,782.5813444982919
A402340,761.8661307003002,761.8661307003002
A005930,603.1791686794804,603.1791686794804
A032830,-253.220860377399,253.220860377399
A000660,104.96814596936487,104.96814596936487
A064400,-5.083139254893695,5.083139254893695
A001680,-0.00027864124288976,0.00027864124288976
A114090,-0.000206618887805321,0.000206618887805321
A009420,-0.0001059212528782133,0.0001059212528782133
A071320,-6.0717583095816485e-05,6.0717583095816485e-05
A003550,-5.158570393390752e-05,5.158570393390752e-05
A032640,-3.9517606612719455e-05,3.9517606612719455e-05
A021240,-3.215848528287206e-05,3.215848528287206e-05
A042660,-1.0882130515064287e-05,1.0882130515064287e-05
A259960,-4.7917322179389255e-06,4.7917322179389255e-06
