symbol,qty,abs_qty
A000210,3638.614628227589,3638.614628227589
A003490,2442.2708912579074,2442.2708912579074
A082740,2426.4062927664927,2426.4062927664927
A001440,2342.3013569223344,2342.3013569223344
A011790,2334.3430647286104,2334.3430647286104
A111770,1223.3485229061484,1223.3485229061484
A003550,1142.074867575872,1142.074867575872
A047050,824.5465288959442,824.5465288959442
A112610,752.2777563866911,752.2777563866911
A066970,728.1248897063058,728.1248897063058
A267250,610.2192058066323,610.2192058066323
A007660,425.2843921467656,425.2843921467656
A036570,378.1501061554798,378.1501061554798
A278470,318.23887488974015,318.23887488974015
A000720,289.10192329762157,289.10192329762157
A006400,244.33534209011086,244.33534209011086
A011070,204.6489666513964,204.6489666513964
A018260,127.99583058752587,127.99583058752587
A039490,105.89181426479902,105.89181426479902
A298040,42.24059758291979,42.24059758291979
A138040,37.364168412798264,37.364168412798264
A000120,18.148014488014702,18.148014488014702
A015760,-0.08382195670391823,0.08382195670391823
A329180,-1.9330394387478966e-05,1.9330394387478966e-05
A042660,-2.270534195158503e-07,2.270534195158503e-07
