symbol,target_weight,abs_weight
A454910,0.2784090909090909,0.2784090909090909
A009420,-0.2523809523809524,0.2523809523809524
A402340,0.22916666666666666,0.22916666666666666
A375500,0.20075757575757575,0.20075757575757575
A001430,0.1590909090909091,0.1590909090909091
A009150,0.13257575757575757,0.13257575757575757
A035250,-0.07619047619047618,0.07619047619047618
A361610,-0.06666666666666667,0.06666666666666667
A015760,-0.05238095238095238,0.05238095238095238
A024110,-0.02857142857142857,0.02857142857142857
A030200,-0.023809523809523808,0.023809523809523808
