strategy_id,id,score_mode,event_mode,flow_gate,construction_mode,risk_mode,cagr,mdd,sharpe,total_return,final_equity,monthly_win_rate,monthly_bm_win_rate,avg_turnover,avg_total_count,median_total_count,p90_total_count,max_total_count,output_dir,robust_score
signal_event_rotation_sev_qavg_reclaim_foreign_k2_ls03,sev_qavg_reclaim_foreign_k2_ls03,qavg,reclaim,foreign,k2,ls03,0.3019674146806104,-0.6635064017168939,0.9449971086036002,4.075772294157434,671593529.5700107,0.5064935064935064,0.4675324675324675,0.25968798112351876,4.561294765840221,4.0,8.0,13,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_qavg_reclaim_foreign_k2_ls03_20260618_220407,0.9860685938189044
signal_event_rotation_sev_qavg_new_high_smart_k1_ls07,sev_qavg_new_high_smart_k1_ls07,qavg,new_high,smart,k1,ls07,0.3071816761422619,-0.594027846588434,0.8610096719811856,4.21856578810482,799278161.7489635,0.5064935064935064,0.4935064935064935,0.33800678914069376,3.177857142857143,3.0,5.0,8,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_qavg_new_high_smart_k1_ls07_20260618_220255,0.9831682977563335
signal_event_rotation_sev_accel_new_high_none_k2_ls03,sev_accel_new_high_none_k2_ls03,accel,new_high,none,k2,ls03,0.18439427124580554,-0.4173463926812504,0.8048860219799148,1.8413113330158728,232016437.44172707,0.5584415584415584,0.44155844155844154,0.14861847054456284,3.5822454308093996,3.0,7.0,11,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_accel_new_high_none_k2_ls03_20260618_221710,0.9763377244667707
signal_event_rotation_sev_op12_new_high_inst_k3_ls07,sev_op12_new_high_inst_k3_ls07,op12,new_high,inst,k3,ls07,0.2877099344785654,-0.5815772296179309,0.8580297014676775,3.733821702505046,594813719.4442997,0.5194805194805194,0.4805194805194805,0.3029380422508452,4.3538681948424065,4.0,9.0,13,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_op12_new_high_inst_k3_ls07_20260618_220829,0.9689473762850814
signal_event_rotation_sev_accel_new_high_none_k3_ls05,sev_accel_new_high_none_k3_ls05,accel,new_high,none,k3,ls05,0.19071343196588475,-0.47388932805330164,0.799523971709042,1.9361543428323982,238191541.01381472,0.5324675324675324,0.4935064935064935,0.17477543778911242,3.9830287206266317,3.0,8.0,14,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_accel_new_high_none_k3_ls05_20260618_221712,0.9661607096808406
signal_event_rotation_sev_eps_op_reclaim_inst_k1_ls02,sev_eps_op_reclaim_inst_k1_ls02,eps_op,reclaim,inst,k1,ls02,0.2619588882878847,-0.505566285402732,0.7981276154093219,3.1938202908426696,562623996.6530362,0.5844155844155844,0.45454545454545453,0.23235045469981402,3.1552447552447553,3.0,5.0,8,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_eps_op_reclaim_inst_k1_ls02_20260618_222253,0.9509780591649757
signal_event_rotation_sev_qavg_reclaim_foreign_k1_ls02,sev_qavg_reclaim_foreign_k1_ls02,qavg,reclaim,foreign,k1,ls02,0.30503763992085986,-0.6526843085288639,0.8733689672855827,4.156628761112137,693149112.8553722,0.5324675324675324,0.4805194805194805,0.24579423285175075,3.394628099173554,3.0,5.0,8,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_qavg_reclaim_foreign_k1_ls02_20260618_220404,0.9447932209841213
signal_event_rotation_sev_accel_new_high_inst_k2_lo,sev_accel_new_high_inst_k2_lo,accel,new_high,inst,k2,lo,0.17368770169727843,-0.5101304463500986,0.8229224322536726,1.6864788018409915,239988536.504552,0.4155844155844156,0.4805194805194805,0.10109813376777148,2.4225352112676055,2.0,5.0,8,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_accel_new_high_inst_k2_lo_20260618_221733,0.9417246346783901
signal_event_rotation_sev_blend_sector_turn_inst_breadth_lo,sev_blend_sector_turn_inst_breadth_lo,blend,sector_turn,inst,breadth,lo,0.15118958305627173,-0.3500741483277783,0.6721063315724288,1.3840474477411862,221504925.51243737,0.5974025974025974,0.5064935064935064,0.17717673953967472,12.597978227060652,10.0,26.0,53,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_blend_sector_turn_inst_breadth_lo_20260618_221239,0.9354210879095101
signal_event_rotation_sev_op12_reclaim_inst_breadth_ls02,sev_op12_reclaim_inst_breadth_ls02,op12,reclaim,inst,breadth,ls02,0.222331021705247,-0.5046589359216165,0.8041295720397458,2.4444052206023468,421292533.65043485,0.5194805194805194,0.4675324675324675,0.22032509891396485,12.91988950276243,11.0,25.0,75,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_op12_reclaim_inst_breadth_ls02_20260618_220931,0.9342528506273526
