symbol,qty,abs_qty
A000210,16119.553281467657,16119.553281467657
A047050,2040.3524706157204,2040.3524706157204
A036570,1385.7393862931767,1385.7393862931767
A112610,838.5714894361131,838.5714894361131
A006400,574.9127223302912,574.9127223302912
A278470,562.0226225999412,562.0226225999412
A267250,441.1292679001716,441.1292679001716
A298040,31.549759160586454,31.549759160586454
A015760,-0.11328264019645928,0.11328264019645928
A329180,-2.7178507006449942e-05,2.7178507006449942e-05
A042660,-1.069812689205459e-09,1.069812689205459e-09
A009540,-9.626749841724568e-13,9.626749841724568e-13
