symbol,qty,abs_qty
A015760,-15861.401210164151,15861.401210164151
A004000,5525.346329304057,5525.346329304057
A000210,4877.937945603482,4877.937945603482
A003490,3941.122632563855,3941.122632563855
A047050,917.5803920601122,917.5803920601122
A036570,725.1665643917494,725.1665643917494
A000720,528.2068872144614,528.2068872144614
A006400,484.85739066354034,484.85739066354034
A018260,252.27173334311334,252.27173334311334
A010120,83.39779408152016,83.39779408152016
A298040,48.61852479583859,48.61852479583859
A012450,38.41782308947259,38.41782308947259
A114090,-0.0003732590967697874,0.0003732590967697874
A071320,-7.412859876774341e-05,7.412859876774341e-05
A259960,-1.574364385399738e-05,1.574364385399738e-05
A079550,-4.825086862229834e-06,4.825086862229834e-06
A329180,-3.1903062759108033e-06,3.1903062759108033e-06
A042660,-6.481176245343801e-10,6.481176245343801e-10
A064350,-4.257243219981303e-10,4.257243219981303e-10
A030000,-3.2849568436208324e-12,3.2849568436208324e-12
