symbol,target_weight,abs_weight
A005490,0.2857142857142857,0.2857142857142857
A000150,0.23809523809523808,0.23809523809523808
A069620,-0.19090909090909092,0.19090909090909092
A011070,0.19047619047619047,0.19047619047619047
A062040,0.14285714285714285,0.14285714285714285
A001440,0.09523809523809523,0.09523809523809523
A361610,-0.09090909090909091,0.09090909090909091
A015760,-0.08181818181818182,0.08181818181818182
A035250,-0.07272727272727272,0.07272727272727272
A028260,0.047619047619047616,0.047619047619047616
A030200,-0.03636363636363636,0.03636363636363636
A024110,-0.02727272727272727,0.02727272727272727
