strategy,cagr,mdd,sharpe,sortino,calmar,vol_annual,total_return,daily_win_rate,monthly_win_rate,monthly_bm_win_rate,best_month,worst_month,var_95_daily,cvar_95_daily,avg_turnover,avg_total_count,median_total_count,p90_total_count,max_total_count
base qavg k2,0.9561707395901295,-0.1667602290464667,2.2229209457961407,3.1948697901128407,5.733805626542397,0.3251269020214132,62.502412367373864,0.5625400898011546,0.7532467532467533,0.6363636363636364,0.40191091525492295,-0.08791984117205442,-0.02306671752473342,-0.04082823391471177,0.2630821419039564,18.7613855035279,18.0,29.0,37.0
self-denom qavg k2,0.7428083571451654,-0.20469138163384415,2.2196292116973906,2.9380374173128585,3.628918575936505,0.2665387914670598,30.080841900560483,0.5554842847979474,0.7532467532467533,0.5844155844155844,0.2978419204905294,-0.08376479699747219,-0.02175939157385041,-0.03762392861959343,0.26541808672309125,17.7036561898653,17.0,25.0,36.0
base qavg k1 compact,0.9251179865474675,-0.19129152048670817,1.9959399901040846,2.774532462094159,4.836168295351853,0.36006374115379475,56.51719043997783,0.5567671584348942,0.7402597402597403,0.6233766233766234,0.4198686307733617,-0.10683456668661373,-0.02530553627621496,-0.04630086145595907,0.26545045437572307,11.904425914047467,12.0,17.0,22.0
ex10pct qavg k2 flow,0.6832312447154523,-0.1938065112654972,1.6351267430653307,2.379940837893664,3.5253265757386654,0.35628411471567173,24.063419024536962,0.5426555484284797,0.5844155844155844,0.5454545454545454,0.3108599815824611,-0.09254874056773765,-0.02482724787950642,-0.04350883721387646,0.31195421046183447,14.237973059653624,14.0,23.0,37.0
KOSPI200,0.2597359556897607,-0.36112624886466915,1.056032310355908,1.4345762187765445,0.7192386499356791,0.24785180499869383,3.172343723092797,0.5426555484284797,0.5584415584415584,,0.33251406852277143,-0.20225212677052296,-0.021748256191812552,-0.03513530838292202,0.0,,,,
