date,monthly_returns
2020-01-31,0.31085998158246064
2020-02-29,0.11076543936910643
2020-03-31,0.09399319692220698
2020-04-30,-0.035365870835621815
2020-05-31,-0.02400260175484037
2020-06-30,0.00629095759567333
2020-07-31,0.21404025713463448
2020-08-31,-0.00421767803934503
2020-09-30,-0.053549770060037694
2020-10-31,-0.037357926950611464
2020-11-30,-0.012800450972382027
2020-12-31,0.05126467821346625
2021-01-31,-0.02968336083817602
2021-02-28,0.05278897577838615
2021-03-31,-0.029175451470520586
2021-04-30,0.13354522751762854
2021-05-31,0.04474158814806506
2021-06-30,-0.03554751878822693
2021-07-31,0.07733185898999806
2021-08-31,0.04483644924557395
2021-09-30,0.11232845101911204
2021-10-31,-0.06509712011352298
2021-11-30,0.06488043150795408
2021-12-31,-0.01380459807793788
2022-01-31,0.048176059089853895
2022-02-28,0.04518671870840518
2022-03-31,-0.004815721035036469
2022-04-30,0.08619494469731825
2022-05-31,-0.006449146359083224
2022-06-30,0.05717145073650909
2022-07-31,-0.006261691275634362
2022-08-31,0.10266175006298539
2022-09-30,-0.09254874056773854
2022-10-31,0.02196796283034308
2022-11-30,-0.026866438879071475
2022-12-31,-0.01367146561601662
2023-01-31,0.008714590558335011
2023-02-28,-0.01184409262165298
2023-03-31,0.06078605730587516
2023-04-30,-0.08325499455320062
2023-05-31,0.14041522591239142
2023-06-30,-0.001981489914143486
2023-07-31,0.08865715864613533
2023-08-31,0.12981136582538877
2023-09-30,-0.06276351889897613
2023-10-31,0.019119676374989902
2023-11-30,-0.03458135482343083
2023-12-31,-0.045164349821109506
2024-01-31,-0.03979723934509216
2024-02-29,0.12114509502405002
2024-03-31,-0.034304044858601945
2024-04-30,0.1632122336469639
2024-05-31,0.07001178550321319
2024-06-30,0.01169160126016311
2024-07-31,0.03679260570979381
2024-08-31,-0.02704614427554697
2024-09-30,0.09088610052054436
2024-10-31,0.07253184208397068
2024-11-30,0.09667536375080932
2024-12-31,0.034791909651523456
2025-01-31,0.18079390559833364
2025-02-28,0.24439967253098316
2025-03-31,-0.0596529021592479
2025-04-30,0.11321689663300405
2025-05-31,0.21042239746795355
2025-06-30,0.11985943238968022
2025-07-31,0.04250583856375134
2025-08-31,-0.0057172569712339305
2025-09-30,-0.006022952531771986
2025-10-31,0.15843140366540576
2025-11-30,-0.02690521516906541
2025-12-31,0.03808330960923656
2026-01-31,0.20179081825865097
2026-02-28,0.21538022439833893
2026-03-31,-0.07300770448043248
2026-04-30,0.286184090882839
2026-05-31,-0.06220596376620002
