date,monthly_returns
2020-01-31,0.08530169949832866
2020-02-29,-0.015375660511748879
2020-03-31,0.0025427425586046493
2020-04-30,-0.015401385451198846
2020-05-31,-0.06047238391021548
2020-06-30,-0.1009380720901003
2020-07-31,0.22752011043913134
2020-08-31,-0.055817849300051736
2020-09-30,-0.042703301546138994
2020-10-31,-0.05165787060224303
2020-11-30,-0.01783766033562173
2020-12-31,0.02841512820505776
2021-01-31,0.03441193629921857
2021-02-28,-0.024281411079833504
2021-03-31,-0.14499740029200725
2021-04-30,0.3065237122081781
2021-05-31,0.11698063430287875
2021-06-30,-0.021642620081027353
2021-07-31,0.09125353687800364
2021-08-31,0.048854667946256924
2021-09-30,0.046239946601785986
2021-10-31,-0.06271862033035469
2021-11-30,0.018455437688214893
2021-12-31,-0.04839651237637177
2022-01-31,0.07442042683440775
2022-02-28,-0.019828628742015186
2022-03-31,-0.018062711262103348
2022-04-30,0.03844670641306225
2022-05-31,0.014038504935378615
2022-06-30,-0.04691311295086387
2022-07-31,0.025759168087613027
2022-08-31,0.11310692425138469
2022-09-30,-0.07138540409643213
2022-10-31,-0.004453401963072645
2022-11-30,-0.021493846223228807
2022-12-31,0.0008788367745036219
2023-01-31,-0.09698143355826261
2023-02-28,-0.0012898579352704775
2023-03-31,-0.06663312958775403
2023-04-30,0.1293355047359377
2023-05-31,0.010894656024531102
2023-06-30,0.11165142552866936
2023-07-31,0.1277839047849485
2023-08-31,0.2674020045048102
2023-09-30,-0.06114189500777201
2023-10-31,-0.027750422300917843
2023-11-30,0.07639188990813395
2023-12-31,0.04570428783234637
2024-01-31,-0.02807505559296186
2024-02-29,0.13106608930593588
2024-03-31,0.1747957162192746
2024-04-30,0.030093115545867688
2024-05-31,0.10904892580110204
2024-06-30,-0.03422288128648476
2024-07-31,-0.003238419841016471
2024-08-31,0.016189427492595998
2024-09-30,0.08828951400258367
2024-10-31,0.14030997843269333
2024-11-30,0.06416989678099183
2024-12-31,0.047461393573402955
2025-01-31,0.14914955729154888
2025-02-28,0.1201755137980296
2025-03-31,-0.035036886612110796
2025-04-30,0.12600797546121667
2025-05-31,0.21862738334280407
2025-06-30,0.08629315902889934
2025-07-31,-0.026014652431383345
2025-08-31,-0.025372966010875575
2025-09-30,0.06846422935148122
2025-10-31,0.20420828585391781
2025-11-30,0.07480764224442438
2025-12-31,0.11515395630238401
2026-01-31,0.31164378152876937
2026-02-28,0.1397394392519702
2026-03-31,-0.03371269677156341
2026-04-30,0.33456416365330055
2026-05-31,0.027880741577435142
