strategy_id,score_mode,event_mode,flow_gate,construction_mode,cagr,mdd,sharpe,beats_rrg,total_return,final_equity,monthly_win_rate,monthly_bm_win_rate,avg_turnover,avg_total_count,median_total_count,p90_total_count,max_total_count
rrgi_qavg_accel_none_qavg_x128,qavg,accel,none,qavg_x128,0.9897880444340037,-0.15562464144821042,2.766900026352366,True,68.79555742183314,6979555742.183314,0.7402597402597403,0.6753246753246753,0.2765930440125693,14.757801899592945,14.0,23.0,34
rrgi_op12_accel_none_qavg_x128,op12,accel,none,qavg_x128,0.9897880444340037,-0.15562464144821042,2.766900026352366,True,68.79555742183314,6979555742.183314,0.7402597402597403,0.6753246753246753,0.2765930440125693,14.757801899592945,14.0,23.0,34
rrgi_blend_accel_none_qavg_x128,blend,accel,none,qavg_x128,0.9897880444340037,-0.15562464144821042,2.766900026352366,True,68.79555742183314,6979555742.183314,0.7402597402597403,0.6753246753246753,0.2765930440125693,14.757801899592945,14.0,23.0,34
rrgi_accel_accel_none_qavg_x128,accel,accel,none,qavg_x128,0.9897880444340037,-0.15562464144821042,2.766900026352366,True,68.79555742183314,6979555742.183314,0.7402597402597403,0.6753246753246753,0.2765930440125693,14.757801899592945,14.0,23.0,34
rrgi_eps_op_accel_none_qavg_x128,eps_op,accel,none,qavg_x128,0.9897880444340037,-0.15562464144821042,2.766900026352366,True,68.79555742183314,6979555742.183314,0.7402597402597403,0.6753246753246753,0.2765930440125693,14.757801899592945,14.0,23.0,34
rrgi_qavg_accel_none_qavg_x132,qavg,accel,none,qavg_x132,1.0196656040981789,-0.16040808307875787,2.7658627552672606,True,75.51880055191062,7651880055.191061,0.7532467532467533,0.6753246753246753,0.28254924241792095,14.757801899592945,14.0,23.0,34
rrgi_op12_accel_none_qavg_x132,op12,accel,none,qavg_x132,1.0196656040981789,-0.16040808307875787,2.7658627552672606,True,75.51880055191062,7651880055.191061,0.7532467532467533,0.6753246753246753,0.28254924241792095,14.757801899592945,14.0,23.0,34
rrgi_blend_accel_none_qavg_x132,blend,accel,none,qavg_x132,1.0196656040981789,-0.16040808307875787,2.7658627552672606,True,75.51880055191062,7651880055.191061,0.7532467532467533,0.6753246753246753,0.28254924241792095,14.757801899592945,14.0,23.0,34
rrgi_accel_accel_none_qavg_x132,accel,accel,none,qavg_x132,1.0196656040981789,-0.16040808307875787,2.7658627552672606,True,75.51880055191062,7651880055.191061,0.7532467532467533,0.6753246753246753,0.28254924241792095,14.757801899592945,14.0,23.0,34
rrgi_eps_op_accel_none_qavg_x132,eps_op,accel,none,qavg_x132,1.0196656040981789,-0.16040808307875787,2.7658627552672606,True,75.51880055191062,7651880055.191061,0.7532467532467533,0.6753246753246753,0.28254924241792095,14.757801899592945,14.0,23.0,34
rrgi_qavg_accel_none_qavg_x125,qavg,accel,none,qavg_x125,0.9668905372760543,-0.15203239807042201,2.765180689492525,True,63.98457832516061,6498457832.516062,0.7402597402597403,0.6753246753246753,0.27237376826243637,14.757801899592945,14.0,23.0,34
rrgi_op12_accel_none_qavg_x125,op12,accel,none,qavg_x125,0.9668905372760543,-0.15203239807042201,2.765180689492525,True,63.98457832516061,6498457832.516062,0.7402597402597403,0.6753246753246753,0.27237376826243637,14.757801899592945,14.0,23.0,34
rrgi_blend_accel_none_qavg_x125,blend,accel,none,qavg_x125,0.9668905372760543,-0.15203239807042201,2.765180689492525,True,63.98457832516061,6498457832.516062,0.7402597402597403,0.6753246753246753,0.27237376826243637,14.757801899592945,14.0,23.0,34
rrgi_accel_accel_none_qavg_x125,accel,accel,none,qavg_x125,0.9668905372760543,-0.15203239807042201,2.765180689492525,True,63.98457832516061,6498457832.516062,0.7402597402597403,0.6753246753246753,0.27237376826243637,14.757801899592945,14.0,23.0,34
rrgi_eps_op_accel_none_qavg_x125,eps_op,accel,none,qavg_x125,0.9668905372760543,-0.15203239807042201,2.765180689492525,True,63.98457832516061,6498457832.516062,0.7402597402597403,0.6753246753246753,0.27237376826243637,14.757801899592945,14.0,23.0,34
rrgi_qavg_accel_none_qavg_x120,qavg,accel,none,qavg_x120,0.9304565060633052,-0.1460363091169038,2.764512160532384,False,56.90335159445355,5790335159.445354,0.7532467532467533,0.6623376623376623,0.26530847541518354,14.757801899592945,14.0,23.0,34
rrgi_op12_accel_none_qavg_x120,op12,accel,none,qavg_x120,0.9304565060633052,-0.1460363091169038,2.764512160532384,False,56.90335159445355,5790335159.445354,0.7532467532467533,0.6623376623376623,0.26530847541518354,14.757801899592945,14.0,23.0,34
rrgi_blend_accel_none_qavg_x120,blend,accel,none,qavg_x120,0.9304565060633052,-0.1460363091169038,2.764512160532384,False,56.90335159445355,5790335159.445354,0.7532467532467533,0.6623376623376623,0.26530847541518354,14.757801899592945,14.0,23.0,34
rrgi_accel_accel_none_qavg_x120,accel,accel,none,qavg_x120,0.9304565060633052,-0.1460363091169038,2.764512160532384,False,56.90335159445355,5790335159.445354,0.7532467532467533,0.6623376623376623,0.26530847541518354,14.757801899592945,14.0,23.0,34
rrgi_eps_op_accel_none_qavg_x120,eps_op,accel,none,qavg_x120,0.9304565060633052,-0.1460363091169038,2.764512160532384,False,56.90335159445355,5790335159.445354,0.7532467532467533,0.6623376623376623,0.26530847541518354,14.757801899592945,14.0,23.0,34
rrgi_qavg_accel_none_qavg_x130,qavg,accel,none,qavg_x130,1.002944565763757,-0.15801722937604068,2.7644269476056818,True,71.69237067333944,7269237067.333943,0.7532467532467533,0.6753246753246753,0.2793745199593929,14.757801899592945,14.0,23.0,34
rrgi_op12_accel_none_qavg_x130,op12,accel,none,qavg_x130,1.002944565763757,-0.15801722937604068,2.7644269476056818,True,71.69237067333944,7269237067.333943,0.7532467532467533,0.6753246753246753,0.2793745199593929,14.757801899592945,14.0,23.0,34
rrgi_blend_accel_none_qavg_x130,blend,accel,none,qavg_x130,1.002944565763757,-0.15801722937604068,2.7644269476056818,True,71.69237067333944,7269237067.333943,0.7532467532467533,0.6753246753246753,0.2793745199593929,14.757801899592945,14.0,23.0,34
rrgi_accel_accel_none_qavg_x130,accel,accel,none,qavg_x130,1.002944565763757,-0.15801722937604068,2.7644269476056818,True,71.69237067333944,7269237067.333943,0.7532467532467533,0.6753246753246753,0.2793745199593929,14.757801899592945,14.0,23.0,34
rrgi_eps_op_accel_none_qavg_x130,eps_op,accel,none,qavg_x130,1.002944565763757,-0.15801722937604068,2.7644269476056818,True,71.69237067333944,7269237067.333943,0.7532467532467533,0.6753246753246753,0.2793745199593929,14.757801899592945,14.0,23.0,34
rrgi_qavg_accel_none_qavg_x135,qavg,accel,none,qavg_x135,1.0395393668364195,-0.1639911139712592,2.7613731445258782,True,80.28483687049287,8128483687.049287,0.7532467532467533,0.6753246753246753,0.2867332465812225,14.757801899592945,14.0,23.0,34
